t[yr],B[G],L[erg/s],P_fill[s],Pdot_fill[s/s],chi[rad],P_vac[s],Pdot_vac[s/s],P_vacObs[s],Pdot_vacObs[s/s],bpol,etor,btorAvg
0.0,100000000000000.0,3.1186781e+36,0.001,9.091174054220272e-09,1.0471975511965976,0.001,2.597478301205792e-09,0.001,2.441114974508591e-09,300000000000000.0,50,52000000000000.0
1.0,99940345000000.0,1.70137e+35,0.01797582410401124,2.970408884339568e-10,0.17088702269206382,0.012217876293583197,2.1237247336371523e-10,0.011846750377421491,2.0584058717172204e-10,300000000000000.0,50,52000000000000.0
2.0,99932394000000.0,1.4106017e+35,0.025659679985326856,2.051484850055608e-10,0.12085088732622891,0.017709364129325538,1.4649411427526822e-10,0.017169657171711178,1.4200309968719936e-10,300000000000000.0,50,52000000000000.0
3.0,99924251000000.0,1.2376601e+35,0.03147842384313607,1.6640570981080654e-10,0.09875174775671296,0.02186144825439364,1.1865097941834802e-10,0.02119452142261259,1.1501724152100607e-10,300000000000000.0,50,52000000000000.0
4.0,99915878000000.0,1.1208271e+35,0.036361565814997755,1.4369024061612665e-10,0.08556573801099397,0.0253413671692791,1.0234097663155272e-10,0.024567893241793353,9.920829538749271e-11,300000000000000.0,50,52000000000000.0
5.0,99907264000000.0,1.0347771e+35,0.040654142416414935,1.283107813915734e-10,0.07655620566735287,0.02839747377782668,9.131149013515985e-11,0.027530465258588963,8.851724570004047e-11,300000000000000.0,50,52000000000000.0
6.0,99898410000000.0,9.6795102e+34,0.0445299166197094,1.1700849231824818e-10,0.06989852826016651,0.031154813740146184,8.321486852357726e-11,0.03020343506519382,8.066888569946916e-11,300000000000000.0,50,52000000000000.0
7.0,99889324000000.0,9.1413204e+34,0.048090771238897524,1.0825031139831623e-10,0.06472079529755517,0.03368665029803421,7.694676066593156e-11,0.0326578143546106,7.459287728624092e-11,300000000000000.0,50,52000000000000.0
8.0,99880021000000.0,8.6971683e+34,0.051403038851309125,1.0120363808689791e-10,0.060544498296900284,0.03604064079045243,7.190770214192011e-11,0.0349397971611404,6.970819562931054e-11,300000000000000.0,50,52000000000000.0
9.0,99870518000000.0,8.3229594e+34,0.054512756407882404,9.537270121673446e-11,0.05708258307471051,0.03824983265464298,6.77409755885758e-11,0.037081416862083556,6.566908616336752e-11,300000000000000.0,50,52000000000000.0
10.0,99860836000000.0,8.0020774e+34,0.05745229987547517,9.044695880772888e-11,0.05415432732041732,0.040337452063153804,6.422327963349215e-11,0.039105187238680124,6.225910571695986e-11,300000000000000.0,50,52000000000000.0
20.0,99756589000000.0,6.762649e+34,0.08114870744211415,6.380833225380436e-11,0.03828083977663154,0.05714878894902421,4.523622799243085e-11,0.05540245848971645,4.385313896495963e-11,300000000000000.0,50,52000000000000.0
30.0,99647642000000.0,5.8473333e+34,0.09929605526944557,5.200753332970656e-11,0.03124647578853008,0.07000971660002449,3.6845657314573137e-11,0.06787018539478631,3.57192144466093e-11,300000000000000.0,50,52000000000000.0
40.0,99535672000000.0,5.2143066e+34,0.1145687037354403,4.496236968725033e-11,0.02705536230178274,0.08082786549460906,3.1842445508418433e-11,0.07835761047643444,3.0869006140976224e-11,300000000000000.0,50,52000000000000.0
50.0,99421819000000.0,4.7560166e+34,0.12800144026873989,4.014583958424761e-11,0.02419729623546469,0.09033983187661039,2.8424444598318543e-11,0.08757879533814775,2.755551961415851e-11,300000000000000.0,50,52000000000000.0
60.0,99306689000000.0,4.4091628e+34,0.14012392352955688,3.658450182715926e-11,0.022089749035029103,0.09892220810118654,2.5898453705900042e-11,0.09589881377551807,2.5106762139220255e-11,300000000000000.0,50,52000000000000.0
70.0,99190175000000.0,4.1375546e+34,0.15125376591116657,3.381017560108176e-11,0.02045260739160667,0.10680064092988174,2.3931403299153824e-11,0.10353641175931469,2.3199852384819275e-11,300000000000000.0,50,52000000000000.0
80.0,99072780000000.0,3.9188333e+34,0.16159305870548443,3.157073879726678e-11,0.019134848106243416,0.11411863044864672,2.2344053082555844e-11,0.11063070117118859,2.166103215370694e-11,300000000000000.0,50,52000000000000.0
90.0,98954865000000.0,3.7258516e+34,0.1712874357650058,2.971191727172389e-11,0.01804405531751466,0.12097953831855876,2.10267874092092e-11,0.11728188310610621,2.038403811197637e-11,300000000000000.0,50,52000000000000.0
100.0,98836672000000.0,3.5802626e+34,0.18044107893906178,2.813618312822539e-11,0.017121869518338224,0.1274572821171102,1.991033978096233e-11,0.12356161500949922,1.9301721962938783e-11,300000000000000.0,50,52000000000000.0
200.0,97644271000000.0,3.1064454e+34,0.2536283142535645,1.9534279318375986e-11,0.012149548207359348,0.17923823826886004,1.3818801275299755e-11,0.17375975993127976,1.3396400928564505e-11,300000000000000.0,50,52000000000000.0
300.0,96489564000000.0,2.5802484e+34,0.3087753891751337,1.5667751960194312e-11,0.00996462322751499,0.2182475146736403,1.1082224645048678e-11,0.21157664266767065,1.0743476578296999e-11,300000000000000.0,50,52000000000000.0
400.0,95416929000000.0,1.7551767e+34,0.3544758985088465,1.3345537660088634e-11,0.00867071396650693,0.2505716684871731,9.43904767062114e-12,0.24291275307527424,9.15052758784902e-12,300000000000000.0,50,52000000000000.0
500.0,94446907000000.0,1.1976368e+34,0.39410996758228944,1.1760540335515867e-11,0.007792463549686747,0.2786035434921588,8.317670175647405e-12,0.2700877886852108,8.063427553235052e-12,300000000000000.0,50,52000000000000.0
600.0,93566371000000.0,8.895637e+33,0.4294383739666147,1.0592766417318708e-11,0.007146789683085652,0.3035893091476135,7.491548532993538e-12,0.2943098259367037,7.262558036941633e-12,300000000000000.0,50,52000000000000.0
700.0,92755855000000.0,7.0730063e+33,0.4615110323327417,9.686573553278686e-12,0.0066465364166936845,0.3262719172812971,6.850517738882017e-12,0.3162991063212938,6.641121594655465e-12,300000000000000.0,50,52000000000000.0
800.0,91999873000000.0,5.9091584e+33,0.49101272377243266,8.956422427844672e-12,0.006244240382648442,0.3471358899016298,6.3340409948085245e-12,0.336525341239116,6.140431914334208e-12,300000000000000.0,50,52000000000000.0
900.0,91287574000000.0,5.1333699e+33,0.5184060024515968,8.352562584257706e-12,0.00591196440092586,0.36650848813608045,5.906912684542928e-12,0.35530578832818727,5.726359535781424e-12,300000000000000.0,50,52000000000000.0
1000.0,90610168000000.0,4.5778866e+33,0.5440451112073493,7.841409630698794e-12,0.005631312474523976,0.3846403247203222,5.545369317858054e-12,0.3728833998075744,5.375867359516464e-12,300000000000000.0,50,52000000000000.0
2000.0,85091081000000.0,2.9478561e+33,0.7418056784597133,5.072116607364575e-12,0.004120794320583682,0.5244908368698656,3.5867747879815734e-12,0.508459192580062,3.4771403177557857e-12,300000000000000.0,50,52000000000000.0
3000.0,80898644000000.0,2.6519774e+33,0.8816409719746888,3.857006248579833e-12,0.0034630587902175734,0.6233751970937457,2.7274536867826007e-12,0.6043210243118653,2.6440855719320947e-12,300000000000000.0,50,52000000000000.0
4000.0,77459395000000.0,2.5254509e+33,0.9919395811511693,3.143235230071039e-12,0.0030755927081560206,0.7013716778364238,2.2226945059021823e-12,0.6799334433191689,2.154755035047577e-12,300000000000000.0,50,52000000000000.0
5000.0,74580465000000.0,2.3871175e+33,1.0837282600479183,2.667300376554253e-12,0.00281350449617881,0.7662785605113155,1.886132582123952e-12,0.7428563652595503,1.8284805696423046e-12,300000000000000.0,50,52000000000000.0
6000.0,72131830000000.0,2.2977713e+33,1.162717105506133,2.3251501206558115e-12,0.0026211998687693805,0.822133965953821,1.6441804845162737e-12,0.7970044802100442,1.593924052085747e-12,300000000000000.0,50,52000000000000.0
7000.0,70012461000000.0,2.2516694e+33,1.2322563370642423,2.0672028752723875e-12,0.0024724166548007335,0.8713070860170395,1.4617741071479828e-12,0.8446745624733071,1.417093160271151e-12,300000000000000.0,50,52000000000000.0
8000.0,68145339000000.0,2.2232561e+33,1.2945368145090075,1.8640974322485322e-12,0.0023527684886074877,0.9153472204008625,1.3181497374094076e-12,0.8873685553459651,1.2778588528408087e-12,300000000000000.0,50,52000000000000.0
9000.0,66491303000000.0,2.2046607e+33,1.3510350445316248,1.7002538344850498e-12,0.0022538011554256226,0.9552984933113855,1.202289579203697e-12,0.9260986680066976,1.165540107572903e-12,300000000000000.0,50,52000000000000.0
