t[yr],B[G],L[erg/s],P_fill[s],Pdot_fill[s/s],chi[rad],P_vac[s],Pdot_vac[s/s],P_vacObs[s],Pdot_vacObs[s/s],bpol,etor,btorAvg
0.0,3000000000000000.0,2.1122362e+37,0.001,8.178706812426018e-06,1.0471975511965976,0.001,2.336773374978862e-06,0.001,2.196103996343621e-06,300000000000000.0,50,52000000000000.0
1.0,2992068900000000.0,1.7410702e+36,0.7608260502918365,8.801788303527459e-09,-102.94759714327645,0.3837162906397467,6.0609844141749595e-09,0.3709041016408567,5.892887418830759e-09,300000000000000.0,50,52000000000000.0
2.0,2984794400000000.0,1.7293886e+36,0.9935106963280629,6.281864855275053e-09,-103.04126750849015,0.5423689473921902,4.2672130181315545e-09,0.5250269902762428,4.1427989080543245e-09,300000000000000.0,50,52000000000000.0
3.0,2977647400000000.0,1.7576754e+36,1.1716991273789084,5.086616592950899e-09,-103.09972532610045,0.6636169008404306,3.4708662577189563e-09,0.6427095789602884,3.368037115118586e-09,300000000000000.0,50,52000000000000.0
4.0,2970739000000000.0,1.8166523e+36,1.320518613650116,4.362266281085116e-09,-103.14173568925878,0.7654550684388073,2.9951641250055064e-09,0.7415185202061318,2.9057259481644494e-09,300000000000000.0,50,52000000000000.0
5.0,2964039000000000.0,1.8894034e+36,1.4503924135841515,3.866205210061112e-09,-103.17421029634173,0.8548655279766306,2.669821051310699e-09,0.8282529305059072,2.58972291544691e-09,300000000000000.0,50,52000000000000.0
6.0,2957542000000000.0,1.9590047e+36,1.566796813455281,3.500421113598151e-09,-103.20047557283404,0.9354320066220722,2.4291779666605415e-09,0.906398704888072,2.356072222490925e-09,300000000000000.0,50,52000000000000.0
7.0,2951197800000000.0,2.0242585e+36,1.673006624740621,3.2169358238809514e-09,-103.222384824972,1.0092785120253722,2.241799548133046e-09,0.9780205088257699,2.1741833183663166e-09,300000000000000.0,50,52000000000000.0
8.0,2945004200000000.0,2.1070855e+36,1.7711744286506914,2.989189793490866e-09,-103.2410822966478,1.0777977327274777,2.0904829547772854e-09,1.0444715165910237,2.027326102235509e-09,300000000000000.0,50,52000000000000.0
9.0,2938951400000000.0,2.1623754e+36,1.8628016219207966,2.80114709955546e-09,-103.25732236233694,1.1419618181363196,1.9648979887641955e-09,1.1066959913485646,1.9054588077466517e-09,300000000000000.0,50,52000000000000.0
