,Unnamed: 0_level_0,age,r,phi,z,v_r,v_phi,v_z
,Unnamed: 0_level_1,[yr],[kpc],[rad],[kpc],[km/s],[km/s],[km/s]
908821,908821,7117113.973054288,15.313006885408061,7.030462929709847,3.0283923272294118,152.48860427786744,-286.1405551842995,434.3305659014824
392546,392546,15289985.472432673,9.827019130076412,1.5984650870301282,-0.3482284326369349,366.6867123589304,-129.7749141297596,8.090449025343275
341571,341571,20161878.371557433,14.415042531461635,7.514129069726587,1.2543270041828811,577.3958764092929,-496.59727079445696,111.54085844839676
1937009,1937009,1443199.1569585712,6.66638423496364,7.143858875606212,0.3781046820206569,-188.8999359171869,-189.85068592147496,288.1093650177005
2095887,2095887,6684347.619120504,14.548879850083818,6.4139715942330335,-1.7106492968483349,539.9474423819242,-273.2815711964769,-274.4408891554427
2171056,2171056,20225077.425257515,11.326667198581106,3.77370203630941,-5.353418295584988,393.3616869998503,-274.22125631868283,-282.87790229813714
177509,177509,20377446.792148873,12.65726234625709,7.239624209880785,6.073630117764739,413.25971507421707,-183.4716353405307,286.4447396631392
2222103,2222103,16145485.490502223,4.631294695714639,6.818044109266995,-5.985412387641747,282.78593222508584,-364.99438390235713,-330.54581313671633
2357130,2357130,19448596.710727576,9.83558348222693,4.106322854041037,4.63529120645804,168.77330030472808,-11.243067987658137,218.71303998642242
185928,185928,17689627.695537064,10.483021457038152,11.937053726692723,-5.964735948159636,-54.522040530263254,-245.59764830191128,-300.86219757942183
2952982,2952982,17337684.09494377,14.291705873957973,7.104526396647589,-8.221064602649658,120.52582835332987,-267.2568636255056,-445.66733030241164
274271,274271,15272085.863046885,2.8889564009969977,0.1544792093694415,1.3255267025946091,-48.9572565723929,5.9261636378862335,13.835155344688866
92226,92226,24293498.28682579,13.805211166759882,6.560763037835933,10.227049158369734,160.1444660323603,-160.14115102475196,403.87252302387697
297715,297715,20325051.88838422,6.777668177790849,9.261639771918704,2.3252951370058343,-156.7006452870566,-257.44531483853814,123.28750864825241
2301551,2301551,10488298.266789313,11.14956723571151,4.257894896758393,3.1507549312577128,365.07262825580017,-352.41017482914833,276.67248164431203
1423373,1423373,29108250.37750124,20.00031738845748,10.591820146883613,1.4841581641865749,424.7125791323249,-232.62589759192275,52.238950668662746
1595049,1595049,28827405.321575396,10.159886789373061,3.8213452224038855,0.03322839101801901,200.17854971103046,-36.73703603235671,-30.653368642553254
439614,439614,19672067.361007463,10.511097732814745,7.48488959510058,-1.6825315459280146,294.5583514114236,-705.2110046806827,-67.81122064104454
2111868,2111868,27026753.48740948,11.896740579846869,5.278751165268089,-1.3921272225210033,248.37127442929628,-126.24506351791356,-32.07324557033153
424614,424614,13711529.764435787,5.846433674399582,7.674358491848418,0.5949769791915422,-306.668934028301,-171.01699299110766,14.980158428477974
