,Unnamed: 0_level_0,age,r,phi,z,v_r,v_phi,v_z
,Unnamed: 0_level_1,[yr],[kpc],[rad],[kpc],[km/s],[km/s],[km/s]
1248907,1248907,2263916.0156881483,7.845902978064062,8.340363128264844,0.6252885874149815,-138.92972028818113,-70.6278201885307,269.01121178705546
12688,12688,1146025.9348089579,9.926614440259307,7.7970278559748305,0.25291253051854146,31.10863647760421,-528.5890862149254,44.446047025216274
2305813,2305813,13749654.428662024,17.654350587984567,8.958424565647379,0.3792460101611097,78.80364174011349,-85.74705703845406,-10.934167850938096
1592267,1592267,3750874.5062227007,4.167832369194214,1.7522717279304718,-0.24761652821973654,240.85719865105716,0.5047174664477525,-123.19550178693756
650001,650001,7660650.155650768,2.1526445052244374,4.29594500391447,0.09736430437639823,-216.58414818411075,-622.3883311748483,20.84747297862186
2031345,2031345,9213022.35843004,4.374496426004473,-7.044414983400168,0.5092438826634863,350.33287433753037,-27.998760027356656,26.020402887423568
1362547,1362547,29720619.84272072,13.975626233348406,7.0708352098718175,5.8351517199036085,121.57548758099743,-224.2453739964596,163.26670923465832
1380903,1380903,4213966.980104021,6.2606595226255575,6.958787432796695,1.4021049847834297,219.03336563999446,-450.60455954384753,311.2965646693604
312921,312921,10167061.423968267,9.812877684320508,8.275869488333777,3.5113396075059558,269.88697076131257,-4.404219708200095,272.3217300828582
1685251,1685251,27811515.11675952,11.458957442191751,10.789913450508951,1.3968198626741155,35.44406380196682,42.7335026281767,37.44127060645931
1710336,1710336,18051309.2474099,7.6932394140319476,7.360130340272613,7.179143247312843,-239.19549692502082,81.63791114718245,381.23476117741035
2249837,2249837,17619181.20614997,21.396144878208247,11.77640156199411,5.588275121510866,269.6670728036329,-262.628518291756,310.05107249757685
432354,432354,18319367.16205284,8.633435541460525,4.876550146718622,1.2138614046500549,287.0511339124547,-318.64110753121975,47.72600549993764
2981617,2981617,13556868.64412969,6.273384811163369,9.505334588439895,3.0861063007211,-71.70991942143344,52.087088169943854,197.56738287627743
521533,521533,14088586.460314713,13.828230811021562,10.419853318502707,7.0688201240259305,352.52254165649583,-329.8449674079389,481.94539874246396
1418083,1418083,6477258.805686552,6.266689041694131,5.03500339283294,1.3599889986021965,140.43876444766968,-412.6028943282354,175.77130625434245
467217,467217,16360541.709523674,22.33238909386826,7.379383715093387,-4.867010122587766,580.9788418234552,-348.36417651163384,-299.3427749950883
376806,376806,15260645.083327115,5.677247942805061,5.375426360720131,5.077181556873024,432.2446732438704,-312.2387221600071,306.9462238647987
1416416,1416416,10499284.325408632,12.77440961610716,11.19649370523667,2.1364061074108927,-362.55548866831987,-349.56847263334953,218.58225130285805
1270778,1270778,26515482.719871104,10.933369533998764,5.915450494188487,0.7783696218791921,80.77946795030617,-270.5215678200198,15.328243966287351
