PSRJ,RAJ,RAJ_UNC,DECJ,DECJ_UNC,PMRA,PMRA_UNC,PMDEC,PMDEC_UNC,PX,PX_UNC,POSEPOCH,REFERENCE FOR PROPER MOTION,CLASS,
,[hms],,[dms],,[mas / yr],[mas / yr],[mas / yr],[mas / yr],[mas],[mas],[MJD],(only if different from the ATNF),,
J0534+2200,05:34:31.973,0.005,+22:00:52.06,0.06,-14.7,0.8,2,0.8,*,0,40706,,PSR,
J0536-7543,05:36:30.82,0.01,-75:43:54.8,0.1,3,40,65,8,*,0,57600,,PSR,
J0538+2817,05:38:25.0572,0.0001,+28:17:09.161,0.002,-23.57,0.1,52.87,0.1,0.72,0.12,52275,,PSR,
J0543+2329,05:43:11.00,0.17,+23:16:40.10,0.47,19,7,12,8,*,0,55580,,PSR,
J0601-0527,06:01:58.9752,0.0002,-05:27:50.871,0.004,-7.36,0.07,-15.24,0.09,0.48,0.04,49379,,PSR,
J0610-2100,06:10:13.595462,1.7E-05,-21:00:27.9313,0.0004,9.04,0.08,16.73,0.08,*,0,55000,Perera+ 2019,PSR,
J0613-0200,06:13:43.9,0.00025,-02:00:47.2,0.0082,1.828,0.005,-10.35,0.01,0.9,0.04,55413,Perera+ 2019,PSR,
J0614+2229,06:14:17.0058,0.0001,+22:29:56.848,0.001,-0.24,0.04,-1.25,0.04,0.28,0.03,49674,,PSR,
J0614-3329,06:14:10.3478,0.0003,-33:29:54.118,0.004,0.58,0.09,-1.92,0.12,1.1,1.1,55100,,PSR,
J0621+1002,06:21:22.11436,3E-05,+10:02:38.7352,0.0015,3.2,0.1,-0.6,0.5,*,0,55000,Perera+ 2019,PSR,
J0629+2415,06:29:05.7273,0.0001,+24:15:41.546,0.001,3.56,0.12,-4.68,0.08,0.33,0.05,49438,,PSR,
J0630-2834,06:30:49.404393,4.3E-05,-28:34:42.77881,0.00037,-46.3,0.99,21.26,0.52,3.01,0.41,54100,,PSR,
J0633+0632,06:33:44.21,0.02,06:32:34.9,1.6,-36,,39,,,,,Danilenko+2020,Gamma-/X-ray PSR,
J0633+1746,06:33:54.1530,0.0028,+17:46:12.909,0.04,138,4,97,4,6.4,1.8,49793,,PSR,
