PSRJ,RAJ,RAJ_UNC,DECJ,DECJ_UNC,PMRA,PMRA_UNC,PMDEC,PMDEC_UNC,PX,PX_UNC,POSEPOCH,REFERENCE FOR PROPER MOTION,CLASS,
,[hms],,[dms],,[mas / yr],[mas / yr],[mas / yr],[mas / yr],[mas],[mas],[MJD],(only if different from the ATNF),,
J1740+1311,17:40:07.3455,0.0012,+13:11:56.69,0.03,-22,2,-20,2,*,0,48262,,PSR,
J1741-0840,17:41:22.5629,0.0001,-08:40:31.711,0.001,0.41,0.1,6.9,0.09,0.28,0.05,48714,,PSR,
J1741+1351,17:41:31.14473,0.0001,+13:51:44.116,0.0021,-8.96,0.03,-7.57,0.04,0.5,0.2,56209,Perera+ 2019,PSR,
J1741-2054,17:41:57.28,0.02,-20:54:11.8,0.3,-63,12,-89,9,*,0,54933,,PSR,
J1741-3927,17:41:18.079,0.005,-39:27:38.2,0.2,20,15,-6,59,*,0,57600,,PSR,
J1743-3150,17:43:36.6856256,1E-07,-31:50:22,83,-11,17,-136,131,*,0,50241,S.J.Dang+ 2020,PSR,CT
J1744-1134,17:44:29.4057891,1.1E-06,-11:34:54.68126,8E-05,18.797,0.004,-9.41,0.02,2.44,0.05,54500,Perera+ 2019,PSR,
J1744-7619,17:44:00.488,0.002,-76:19:14.710,0.009,-21,3,-7,3,*,0,55716,,PSR,
J1745-0952,17:45:09.1348,0.0002,-09:52:39.682,0.015,-21.2,1.1,11,5,*,0,53200,,PSR,
J1745+1017,17:45:33.8371,0.0007,+10:17:52.523,0.002,6,1,-5,1,*,0,55400,,PSR,
J1745-3040,17:45:56.316,0.012,-30:40:22.9,1.1,15,1,47,7,*,0,55276,,PSR,
J1747-4036,17:47:48.7165,0.0017,-40:36:54.79,0.082,-0.2,0.8,-5,1,0.4,0.7,56676,Perera+ 2019,PSR,
J1751-2857,17:51:32.693197,1.7E-05,-28:57:46.520,0.003,-7.4,0.1,-4,1,*,0,55000,Perera+ 2019,PSR,
J1751-4657,17:51:42.196,0.002,-46:57:26.53,0.05,-13,5,-59,7,*,0,57600,,PSR,
J1752-2806,17:52:58.6896,0.0017,-28:06:37.3,0.3,-4,6,-5,5,*,0,46483,,PSR,
J1754+5201,17:54:22.9068,0.0001,+52:01:12.244,0.001,-3.95,0.05,1.11,0.07,0.16,0.03,49666,,PSR,
J1756-2251,17:56:46.633812,1.5E-05,-22:51:59.35,0.02,-2.42,0.08,0,20,1.05,0.55,53563,,PSR,
J1801-1417,18:01:51.073331,1.9E-05,-14:17:34.526,0.002,-10.89,0.12,-3,1,*,0,55000,,PSR,
J1801-2451,18:01:00.016,0.008,-24:51:27.5,0.2,-11,9,-1,15,*,0,53348,,PSR,
J1801-3210,18:01:25.8896,0.0002,-32:10:53.714,0.017,-8,2,-11,10,*,0,55001.9,,PSR,
J1802-2124,18:02:05.335576,9E-06,-21:24:03.649,0.003,-1.1,0.1,-4,4,1.2,0.7,53453,Perera+ 2019,PSR,
J1803-2137,18:03:51.4105,0.001,-21:37:07.351,0.01,11.6,1.8,14.8,2.3,*,0,51544,,PSR,
J1804-2717,18:04:21.133087,1.9E-05,-27:17:31.335,0.004,2.6,0.2,-18,2,*,0,55000,Perera+ 2019,PSR,
J1807-0847,18:07:38.0274,0.0004,-08:47:43.27,0.02,-5,4,1,4,*,0,48244,,PSR,
J1809-1917,18:09:43.136,0.002,-19:17:38.1,0.5,-19,6,50,90,*,0,55366,,PSR,
J1809-2332,18:09:50.25,0.03,-23:32:22.68,0.1,12,8,-24,6,*,0,55770,,PSR,
J1810+1744,18:10:37.28038,0.001,17:44:37.4719,0.001,6.4,1.7,-7.2,2,1.05,0.69,57205.875,Jennings+ 2018,Binary PSR,
J1810-2005,18:10:58.9919,0.0006,-20:05:08.27,0.14,0,2,17,37,*,0,53200,,PSR,
J1811-2405,18:11:19.85315,2E-05,-24:05:18.365,0.011,0.65,0.14,-9.1,5.2,0.2,0.2,55208.5,,PSR,
J1813-2621,18:13:40.59165,0.0001,-26:21:57.055,0.018,-7.3,0.9,-22,16,*,0,54058,,PSR,
J1816+4510,18:16:35.93436,7E-05,+45:10:33.8618,0.0008,-0.17,0.29,-4.42,0.33,0.22,0.15,57205.875,Jennings+ 2018,Binary PSR,
J1817-3618,18:17:05.857,0.009,-36:18:04.6,0.3,19,5,-16,17,*,0,57600,,PSR,
J1820-0427,18:20:52.5934,0.0001,-04:27:37.712,0.002,-7.31,0.07,15.89,0.08,0.35,0.05,57600,,PSR,
J1820-1346,18:20:19.743,0.009,13:46:15.00,0.7,-17,16,21,95,*,0,54607,S.J.Dang+ 2020,PSR,CT
J1823+0550,18:23:30.9731,0.0011,+05:50:24.31,0.04,5,11,-2,4,*,0,48713,,PSR,
J1823-3021A,18:23:40.48701,0.00036,-30:21:40.127,0.044,0.31,0.24,-8.2,1.7,*,0,55049,,PSR,
J1823-3106,18:23:46.78,0.067,-31:06:50,6.2,18,4,27,18,*,0,50093,,PSR,
J1824-1945,18:24:00.56,0.18,-19:46:03.36,0.32,12.2,1,10,14,*,0,55291,,PSR,
J1824-2452A,18:24:32.00788,3E-05,-24:52:10.834,0.008,-0.2,0.2,-6,4,*,0,54500,Perera+ 2019,PSR,
J1825-0935,18:25:30.594,0.002,-09:35:21.2,0.2,-13,11,-9,5,*,0,57600,,PSR,
J1825-1446,18:25:02.96,0.17,-14:46:53.77,0.7,11.07,0.1,-27.61,0.1,*,0,55314,,PSR,
J1826-1334,18:26:13.175,0.003,-13:34:46.8,0.1,23,2.5,-3.9,3.1,*,0,52400,,PSR,
J1829-1751,18:29:43.13,0.12,-17:51:04,16,22,13,-150,130,*,0,49878,,PSR,
J1832-0827,18:32:37.013,0.002,-08:27:03.7,1.2,-4,4,20,15,*,0,55397,,PSR,
J1833-0338,18:33:41.8945,0.0001,-03:39:04.258,0.001,-17.34,0.09,15,0.3,0.4,0.06,57600,,PSR,
J1835-1020,18:35:57.5784,0.001,-10:20:04.50,0.06,25,5,4,21,*,0,54369,,PSR,
J1835-1106,18:35:18.41,0.05,-11:06:16.1,0.9,27,46,56,190,*,0,55429,,PSR,
J1836-0436,18:36:51.790,0.002,-04:36:37.70,1,-3,2,-1,9,*,0,49532,S.J.Dang+ 2020,PSR,CT
J1836-1008,18:36:53.9,0.23,-10:08:08,14,18,65,12,220,*,0,48880,,PSR,
J1839-0643,18:39:09.788,0.007,-06:43:44.50,0.4,4,32,-170,111,*,0,54603,S.J.Dang+ 2020,PSR,T
J1840+5640,18:40:44.5372,0.0001,+56:40:54.852,0.001,-31.21,0.03,-29.08,0.06,0.66,0.04,48717,Deller+ 2019,PSR,
J1841+0912,18:41:55.95,0.15,+09:12:07,3.7,-12,5,38,7,*,0,48266,,PSR,
J1843-1113,18:43:41.261917,1.2E-05,-11:13:31.0686,0.0007,-1.91,0.06,-3.2,0.2,0.6,0.4,55000,Perera+ 2019,PSR,
J1843-1448,18:43:01.3750,0.0003,-14:48:12.61,0.03,10.5,0.19,12,15,*,0,53934,,PSR,
J1844+1454,18:44:54.8946,0.0011,+14:54:14.12,0.03,-9,10,45,6,*,0,49362,,PSR,
J1847-0402,18:47:22.842,0.002,-04:02:14.4,0.1,-1,7,8,19,*,0,57600,,PSR,
J1848-0123,18:48:23.5895,0.0015,-01:23:58.33,0.05,5,2,-26,6,*,0,53868,,PSR,
J1853+1303,18:53:57.3183,0.00023,+13:03:44.051,0.0041,-1.63,0.02,-2.96,0.04,0.2,0.3,56553,Perera+ 2019,PSR,
J1857+0526,18:57:15.851,0.002,+05:26:28.64,0.02,19,11,-51,20,*,0,54619,S.J.Dang+ 2020,PSR,T
J1857+0943,18:57:36.39042,0.00012,+09:43:17.196,0.0041,-2.652,0.004,-5.423,0.006,0.9,0.1,55367,Perera+ 2019,PSR,
J1900-2600,19:00:47.582,0.004,-26:00:43.8,0.5,-19.9,0.3,-47.3,0.9,0.5,0.6,48891,,PSR,
J1901+0331,19:01:31.781,0.002,+03:31:05.97,0.07,-7,2,-45,5,*,0,54336,,PSR,
J1901+0716,19:01:38.956,0.005,07:16:34.40,0.1,23,16,-28,33,*,0,54537,S.J.Dang+ 2020,PSR,CT
J1901-0906,19:01:53.0087,0.0003,-09:06:11.146,0.01,-7.54,0.04,-18.2,0.2,0.52,0.05,50873,,PSR,
J1902+0556,19:02:42.616,0.003,05:56:25.92,0.06,-4,5,-1,10,*,0,54288,.J.Dang+ 2020,PSR,CT
J1902-5105,19:02:02.84821,9E-05,-51:05:56.9695,0.0008,-4.8,1.3,-4.4,1.6,*,0,55520,,PSR,
J1903+0135,19:03:29.986,0.001,+01:35:38.53,0.04,3,7,-13,14,*,0,57600,,PSR,
J1903+0327,19:03:05.793213,1E-05,+03:27:19.20911,6E-05,-2.8,0.3,-6.6,0.8,0.3,0.7,55000,Perera+ 2019,PSR,
J1903-7051,19:03:38.7935,0.0003,-70:51:43.461,0.002,-8.8,1.6,-16,2,*,0,56526,,PSR,
J1904+0004,19:04:12.7180,0.0015,+00:04:05.29,0.04,8,9,-7,16,*,0,54377,,PSR,
J1905+0400,19:05:28.273436,1.6E-05,+04:00:10.8830,0.0006,-3.8,0.18,-7.3,0.4,*,0,53700,,PSR,
J1905+0709,19:05:53.62,0.02,07:09:19.40,0.6,-1,34,-12,63,*,0,49466,.J.Dang+ 2020,PSR,CT
J1906+0454,19:06:47.13970,7E-05,+04:54:09.042,0.002,-6,1,-14,3,*,0,58100,,PSR,
J1907+0919,19:07:14.33,0.01,+09:19:20.1,0.2,0.6,0.2,4.2,0.4,*,0,51052,,PSR,
J1907+4002,19:07:34.656,0.008,+40:02:05.71,0.11,11,4,11,1,*,0,48713,,PSR,
J1909+0007,19:09:35.25,0.11,+00:07:58,6.1,5,3,-32,7,*,0,48740,,PSR,
J1909-3744,19:09:47.4346749,1.1E-06,-37:44:14.46674,5E-05,-9.513,0.002,-35.777,0.006,0.88,0.01,54500,Perera+ 2019,PSR,
J1910+1256,19:10:09.7014,0.00035,+12:56:25.459,0.0082,0.21,0.03,-7.04,0.05,0.1,0.3,56131,Perera+ 2019,PSR,
J1910-5959A,19:11:42.75562,3E-05,-59:58:26.9029,0.0003,-3.08,0.06,-3.97,0.06,*,0,51920,,PSR,
J1910-5959C,19:11:05.5552,0.0004,-60:00:59.700,0.004,-4.1,1.7,-4.6,2.5,*,0,51910,,PSR,
J1911-1114,19:11:49.28233,3E-05,-11:14:22.481,0.003,-13.7,0.2,-9.3,0.9,*,0,55000,Perera+ 2019,PSR,
J1911+1347,19:11:55.20362,0.00012,+13:47:34.359,0.0021,2.9,0.03,-3.76,0.05,0.4,0.2,56936,Perera+ 2019,PSR,
J1912+2104,19:12:43.3391,0.0001,+21:04:33.926,0.001,-11.34,0.06,-5.8,0.1,0.02,0.09,48740,Deller+ 2019,PSR,
J1913-0440,19:13:54.1735,0.0016,-04:40:47.68,0.07,7,13,-5,9,*,0,46634,,PSR,
J1913+1400,19:13:24.3527,0.0001,+14:00:52.559,0.001,-5.28,0.06,-8.94,0.05,0.185,0.03,49910,,PSR,
J1915+1009,19:15:29.991,0.003,+10:09:43.37,0.06,6,2,-17,4,*,0,57600,,PSR,
J1915+1606,19:15:27.99942,3E-05,+16:06:27.3868,0.0005,-1.23,0.04,-0.83,0.04,*,0,52984,,PSR,
J1916+0951,19:16:32.3391,0.0009,09:51:25.93,0.02,-1,2,-11,2,*,0,54587,S.J.Dang+ 2020,PSR,CT
J1917+1353,19:17:39.7864,0.0001,+13:53:57.077,0.001,-1.25,0.05,3.81,0.06,0.14,0.07,49763,Deller+ 2019,PSR,
J1918-0642,19:18:48.03272,0.00015,-06:42:34.900,0.0082,-7.15,0.02,-5.94,0.05,0.8,0.1,55330,Perera+ 2019,PSR,
J1918+1444,19:18:23.638,0.006,+14:45:06.00,0.1,78,49,-262,77,*,0,49690,S.J.Dang+ 2020,PSR,T
J1919+0021,19:19:50.6715,0.0001,+00:21:39.722,0.002,10.11,0.09,-4.7,0.09,0.17,0.04,49427,,PSR,
J1921+1929,19:21:23.35070,4E-05,+19:29:22.299,0.001,-3.2,0.8,-11,1,*,0,58137,,PSR,
J1921+2153,19:21:44.815,0.002,+21:53:02.25,0.04,17,4,32,6,*,0,48999,,PSR,
J1923+2515,19:23:22.4926,0.00022,+25:15:40.592,0.0061,-6.69,0.1,-14.7,0.2,-0.3,0.6,56583,Perera+ 2019,PSR,
J1926+0431,19:26:24.471,0.003,04:31:31.37,0.08,1,9,-14,16,*,0,54606,S.J.Dang+ 2020,PSR,CT
J1932+1059,19:32:14.0570,0.0008,+10:59:33.38,0.02,94.09,0.11,42.99,0.16,2.77,0.07,57600,,PSR,
J1933-6211,19:33:32.42668,5E-05,-62:11:46.876,0.001,-5.54,0.07,10.7,0.2,*,0,53000,,PSR,
J1935+1616,19:35:47.8259,0.0001,+16:16:39.986,0.002,1.13,0.13,-16.09,0.15,0.22,0.12,52275,,PSR,
J1937+1658,19:37:24.90851,8E-05,+16:58:42.553,0.002,-1.8,0.7,-5,1,*,0,57516,,PSR,
J1937+2544,19:37:01.2544,0.0001,+25:44:13.436,0.001,-10.04,0.04,-13.06,0.04,0.32,0.03,49703,,PSR,
J1939+2134,19:39:38.561224,2E-06,+21:34:59.12570,4E-05,0.074,0.002,-0.41,0.003,0.19,0.05,55000,Perera+ 2019,PSR,
J1941-2602,19:41:00.4070,0.0018,-26:02:05.75,0.12,12,2,-10,4,*,0,50076,,PSR,
J1943-1237,19:43:25.480,0.004,-12:37:43.10,0.3,-1,8,-46,35,*,0,54561,S.J.Dang+ 2020,PSR,CT
J1944+0907,19:44:09.3309,0.00025,+09:07:23.006,0.0061,14.14,0.08,-22.6,0.2,0.1,0.3,56570,Perera+ 2019,PSR,
J1946+1805,19:46:53.044,0.006,+18:05:41.24,0.11,1,5,-9,4,*,0,48790,,PSR,
J1946-2913,19:46:51.734,0.008,-29:13:47.1,0.5,19,9,-33,20,*,0,48736,,PSR,
J1946+3417,19:46:25.131145,2E-05,+34:17:14.68898,0.00014,-7.01,0.23,4.51,0.21,*,0,56819,,PSR,
J1948+3540,19:48:25.0067,0.001,+35:40:11.057,0.015,-12.6,0.6,0.7,0.6,*,0,49449,,PSR,
J1949+3106,19:49:29.6374604,3.7E-06,+31:06:03.80604,6E-05,-5,5,-5,7,-1,3,56000,Perera+ 2019,PSR,
J1950+2414,19:50:45.063661,2.4E-05,+24:14:56.9639,0.0004,-2.12,0.18,-3.64,0.19,*,0,56000,,PSR,
J1952+2630,19:52:36.8401,0.0001,+26:30:28.073,0.002,-6,2,0,3,*,0,55813,,PSR,
J1952+3252,19:52:58.206,0.001,+32:52:40.51,0.01,-28.8,0.9,-14.7,0.9,*,0,52793,,PSR,
J1954+2923,19:54:22.554,0.002,+29:23:17.29,0.04,25,17,-36,10,*,0,48719,,PSR,
J1955+2527,19:55:59.39523,7E-05,+25:27:03.443,0.002,-1.9,0.6,-2.4,0.8,*,0,54800,,PSR,
J1955+2908,19:55:27.8753,0.00055,+29:08:43.436,0.01,-1.03,0.06,-4.17,0.08,-1,1,56568,Perera+ 2019,PSR,
J1955+5059,19:55:18.7637,0.0013,+50:59:55.292,0.013,-23,5,54,5,*,0,48741,,PSR,
J1955+6708,19:55:38.766,0.0071,+67:08:15.13,0.04,-3,1,10,2,*,0,56600,,PSR,
J1957+2516,19:57:34.6115 ,0.005,+25:16:02.076,0.005,-5.7,11,-8.9,1.4,0.69,0.86,57205.875,Jennings+ 2018,Binary PSR,
J1959+2048,19:59:36.76988,5E-05,+20:48:15.1222,0.0006,-16,0.5,-25.8,0.6,*,0,48196,,PSR,
J2004+3137,20:04:52.279,0.002,31:37:09.99,0.03,-6,2,-6,3,*,0,54539,S.J.Dang+ 2020,PSR,CT
J2006-0807,20:06:16.3650,0.0001,-08:07:02.167,0.003,-6.19,0.05,-10.59,0.15,0.42,0.1,49766,Deller+ 2019,PSR,
J2010-1323,20:10:45.9211,0.0001,-13:23:56.083,0.004,2.56,0.6,-5.9,0.2,0.2,0.1,56235,Perera+ 2019,PSR,
J2010+3051,20:10:03.9542,0.0001,+30:51:18.892,0.001,-10.3,0.9,-3,1,*,0,57949,,PSR,
J2013+3845,20:13:10.367,0.003,+38:45:43.31,0.04,-32.1,1.7,-25,2,*,0,49718,,PSR,
J2016+1948,20:16:57.44349,6E-05,+19:47:51.5882,0.0012,1.28,0.26,2.83,0.34,*,0,53000,,PSR,
J2017+0603,20:17:22.7052,0.00028,+06:03:05.564,0.008,2.4,0.4,-0.5,0.6,0.5,0.2,56682,Perera+ 2019,PSR,
J2018+2839,20:18:03.8333,0.0009,+28:39:54.212,0.016,-2.6,0.2,-6.2,0.4,1.03,0.1,46384,,PSR,
J2019+2425,20:19:31.94900,3E-05,+24:25:15.3038,0.0005,-8.8,0.5,-19.9,0.7,*,0,48900,Perera+ 2019,PSR,
J2022+2854,20:22:37.0671,0.0007,+28:54:23.104,0.011,-4.4,0.5,-23.6,0.3,0.37,0.12,49692,,PSR,
J2022+5154,20:22:49.8730,0.0012,+51:54:50.233,0.011,-5.23,0.17,11.5,0.3,0.5,0.07,46640,,PSR,
J2029+3744,20:29:23.882,0.006,37:44:08.05,0.08,10,11,-10,13,*,0,54150,S.J.Dang+ 2020,PSR,CT
J2032+4127,20:32:13.119,0.002,+41:27:24.31,0.09,-2.991,0.048,-0.742,0.055,0.693,0.033,55700,,Binary PSR,
J2033+1734,20:33:27.5118,0.00086,+17:34:58.470,0.016,-5.9,0.4,-9,0.8,*,0,56945,Perera+ 2019,PSR,
J2042+0246,20:42:11.00287,5E-05,+02:46:14.397,0.002,15.1,1.2,-14.1,2.5,*,0,56520,,PSR,
J2043+1711,20:43:20.88164,8.2E-05,+17:11:28.908,0.002,-5.76,0.06,-10.8,0.1,0.93,0.1,56573,Perera+ 2019,PSR,
J2045+3633,20:45:01.50504,0.00012,+36:33:01.4033,0.0008,-2.1,1.4,-2.3,0.8,*,0,56855,,PSR,
J2046-0421,20:46:00.1730,0.0001,-04:21:26.256,0.002,10.76,0.04,-4.26,0.22,0.16,0.03,48739,,PSR,
J2046+1540,20:46:39.3373,0.0001,+15:40:33.558,0.001,-10.48,0.06,0.66,0.06,0.31,0.08,48742,,PSR,
J2048-1616,20:48:35.640637,4E-05,-16:16:44.55350,0.00015,113.16,0.02,-4.6,0.28,1.05,0.03,54100,,PSR,
J2051-0827,20:51:07.519768,1.8E-05,-08:27:37.7497,0.0008,5.63,0.04,2.34,0.28,*,0,55655,,PSR,
J2053+1718,20:53:49.4809,0.0007,+17:18:44.662,0.013,-1,2.3,6.9,2.8,*,0,53400,,PSR,
J2053+4650,20:53:52.62804,7E-05,+46:50:51.7181,0.0004,-2.8,0.8,-5.4,0.5,*,0,56917.5915,,PSR,
J2055+2209,20:55:39.161,0.002,22:09:27.09,0.05,10,5,-10,9,*,0,54546,S.J.Dang+ 2020,PSR,CT
J2055+3630,20:55:31.3521,0.0001,+36:30:21.469,0.002,1.04,0.04,-2.46,0.13,0.17,0.03,52275,,PSR,
J2055+3829,20:55:10.306550,4E-06,+38:29:30.90571,6E-05,5.92,0.03,0.79,0.07,*,0,57900,,PSR,
J2108+4441,21:08:20.482,0.006,+44:41:48.87,0.06,3.5,1.3,1.4,1.4,*,0,48736,,PSR,
J2113+2754,21:13:04.3506,0.0001,+27:54:01.160,0.001,-27.96,0.03,-54.46,0.07,0.7,0.02,48741,,PSR,
J2113+4644,21:13:24.3295,0.0001,+46:44:08.844,0.001,9.5,0.1,8.84,0.08,0.46,0.07,53915,,PSR,
J2116+1414,21:16:13.752,0.003,+14:14:21.04,0.07,8,15,-11,5,*,0,48471,,PSR,
J2124-3358,21:24:43.849372,1E-05,-33:58:44.8500,0.0003,-14.09,0.03,-50.23,0.07,2.6,0.3,54500,Perera+ 2019,PSR,
J2129-0429,21:29:45.039,0.001,-04:29:05.59,0.08,12.34,0.15,10.19,0.14,0.424,0.088,55196,,Binary PSR,
J2129+1210A,21:29:58.246512,4E-06,+12:10:01.2339,0.0001,-0.54,0.14,-4.33,0.25,*,0,55146,,PSR,
J2129+1210B,21:29:58.632,0.001,+12:10:00.31,0.03,1.7,3.3,-1.9,5.9,*,0,50000,,PSR,
J2129+1210C,21:30:01.2042,0.0001,+12:10:38.209,0.004,-1.3,0.5,-3.3,1,*,0,50000,,PSR,
J2129-5721,21:29:22.766966,1.2E-05,-57:21:14.21183,0.00012,9.25,0.02,-9.61,0.03,0.424,0.088,54500,Perera+ 2019, Jennings +2018,Binary PSR
J2144-3933,21:44:12.060404,4.5E-05,-39:33:56.88504,0.00032,-57.89,0.88,-155.9,0.54,6.05,0.56,54100,,PSR,
J2145-0750,21:45:50.4588,0.0001,-07:50:18.514,0.004,-9.58,0.03,-8.87,0.07,1.54,0.1,55000,Perera+ 2019,PSR,
J2149+6329,21:49:58.7033,0.0002,+63:29:44.277,0.002,15.81,0.11,11.16,0.19,0.36,0.07,44240,,PSR,
J2150+5247,21:50:37.7499,0.0001,+52:47:49.556,0.001,8.4,0.2,-4.5,0.3,0.03,0.12,49693,Deller + 2019,PSR,
J2157+4017,21:57:01.8495,0.0001,+40:17:45.986,0.002,16.13,0.1,4.12,0.12,0.28,0.06,52275,,PSR,
J2204+2700,22:04:43.609,0.003,+27:00:54.69,0.04,2,16,-3,3,*,0,56805,,PSR,
J2212+2933,22:12:23.3444,0.0001,+29:33:05.411,0.001,-5.53,0.08,-11.34,0.11,0.23,0.09,49686,,PSR,
J2214+3000,22:14:38.8525,0.00057,+30:00:38.193,0.0097,20.7,0.1,-1.6,0.2,1.1,0.2,56610,Perera+ 2019,PSR,
J2215+5135,22:15:32.6864,0.0001,+51:35:36.4063,0.0001,0.31,0.54,1.88,0.6,0.28,0.36,57205.875,Jennings+ 2018,Binary PSR,
J2219+4754,22:19:48.139,0.003,+47:54:53.93,0.03,-12,8,-30,6,*,0,46599,,PSR,
J2222-0137,22:22:05.969101,7E-06,-01:37:15.72441,0.0001,44.73,0.02,-5.68,0.06,3.742,0.016,55473,,PSR,
J2225+6535,22:25:52.8627,0.0003,+65:35:36.371,0.001,147.23,0.23,126.5,0.1,1.2,0.2,53880,,PSR,
J2229+2643,22:29:50.8845,0.001,+26:43:57.648,0.013,-1.7,0.1,-5.9,0.1,0.8,0.6,56937,Perera+ 2019,PSR,
J2234+0611,22:34:23.073090,2E-06,+06:11:28.68633,7E-05,25.3,0.02,9.71,0.05,1.03,0.04,56794.09,,PSR,
J2235+1506,22:35:43.7001,0.0001,+15:06:49.060,0.005,15,4,10,8,*,0,49250,,PSR,
J2240+5832,22:40:42.939,0.004,+58:32:37.52,0.04,-6.1,0.8,-21,0.4,*,0,54000,,PSR,
J2241-5236,22:41:42.01850,5E-05,-52:36:36.2260,0.0003,17.1,0.1,-3.32,0.05,*,0,55044.2,,PSR,
J2248-0101,22:48:26.8859,0.0001,-01:01:48.085,0.001,-10.5,0.07,-17.49,0.19,0.25,0.06,50866,,PSR,
J2301+5852,23:01:08.29,0.33,+58:52:44.45,0.6,-6.4,0.6,-2.3,0.6,*,0,54852,,PSR,
J2302+4442,23:02:46.9783,0.00078,+44:42:22.085,0.0095,-5,4,-7,5,1,1,56675,Perera+ 2019,PSR,
J2305+3100,23:05:58.3212,0.0001,+31:00:01.281,0.001,-3.7,0.04,-15.63,0.11,0.23,0.03,48714,,PSR,
J2308+5547,23:08:13.822,0.005,+55:47:36.03,0.04,-15,8,0,27,*,0,48717,,PSR,
J2313+4253,23:13:08.6209,0.0001,+42:53:13.043,0.002,24.15,0.1,5.95,0.13,0.93,0.07,52275,,PSR,
J2317+1439,23:17:09.2364,0.0001,+14:39:31.265,0.001,-1.33,0.3,3.51,0.5,0.1,0.1,54977,Perera+ 2019 ,PSR,
J2317+2149,23:17:57.8419,0.0001,+21:49:48.019,0.001,8.49,0.07,0.19,0.14,0.51,0.05,48716,,PSR,
J2321+6024,23:21:55.2139350,0.73,+60:24:31,5.5,-17,22,-7,19,*,0,49303,,PSR,
J2322+2057,23:22:22.33516,7E-05,+20:57:02.6772,0.0014,-18.5,0.3,-15.3,0.5,*,0,55000,Perera+ 2019,PSR,
J2322-2650,23:22:34.64004,3E-05,-26:50:58.3171,0.0006,-2.4,0.2,-8.3,0.4,4.4,1.2,56152,,PSR,
J2325+6316,23:25:13.3196,0.0002,+63:16:52.362,0.001,-5.92,0.08,-2.05,0.19,0.01,0.05,48309,Deller+ 2019,PSR,
J2330-2005,23:30:26.885,0.007,-20:05:29.63,0.17,74.7,1.9,5,3,*,0,49878,,PSR,
J2337+6151,23:37:05.762,0.01,+61:51:01.53,0.07,-1,18,-15,16,*,0,53100,,PSR,
J2339-0533,23:39:38.74,0.01,-05:33:05.32,0.03,4.15,0.48,-10.31,0.3,0.75,0.25,55100,,Binary PSR,
J2346-0609,23:46:50.4978,0.0001,-06:09:59.899,0.002,37.38,0.03,-20.21,0.09,0.27,0.03,51021,,PSR,
J2354+6155,23:54:04.7830,0.0001,+61:55:46.845,0.001,22.76,0.05,4.897,0.025,0.41,0.04,49405,,PSR,
4U 0142+61,01:46:22.41,0.028,61:45:03.19,0.2,-5.6,1.3,2.9,1.3,*,*,*,Tendulkar+ 2013,MAG,
J1550-5418,15:50:54.12386,0.00064,-54:18:24.1141,0.002,4.8,0.5,-7.9,0.3,*,0,54795,,MAG,
J1745-2900,17:45:40.1662,0.0008,-29:00:29.896,0.01,2.45,0.32,5.89,0.11,*,0,56899,,MAG,
J1809-1943,18:09:51.08696,0.0003,-19:43:51.9315,0.004,-6.6,0.06,-11.7,1,*,0,55444,,MAG,
J1808-2024,18:08:39.337,0.004,-20:24:39.85,0.06,-4.5,1.4,-6.9,2,*,0,53254,,MAG,
SGR 1900+14,19:07:14.33,0.01,09:19:20.10,0.2,-2.1,0.4,-0.6,0.5,*,*,*,Tendulkar+ 2012,MAG,
1E 2259+586,23:01:08.30,0.077,58:52:44.45,0.6,-9.9,1.1,-3,1.1,*,*,*,Tendulkar+ 2013,MAG,
J0720-3125,07:20:24.9620,0.0009,-31:25:50.083,0.011,-93.2,5.4,46.8,5.1,2.8,0.9,52645.1,Eisenbeiss+ 2010,XDINS,
J1308+2127,13:08:48.27,0.01,21:27:06.78,0.05,-207,20,84,20,*,0,53415.68,Motch+ 2009,XDINS,
J1605+3249,16:05:18.52,0.03,+32:49:18.0,0.3,-25,16,142,15,*,0,52111,,XDINS,
J1856-3754,18:56:35.41,0.16,-37:54:35.8,0.2,326.6,0.5,-61.9,0.4,6.2,0.6,50450,Walter+ 2010,XDINS,
