,age,r,phi,z,v_r,v_phi,v_z
,[yr],[kpc],[rad],[kpc],[km/s],[km/s],[km/s]
0,13801746.881760595,10.725781821421576,4.053965988741446,-1.874041754181796,676.0759545216213,-271.07606511712385,-114.54729750368364
1,4379099.6467720345,13.987264159148712,4.287571754461659,0.1496486143262978,345.0071571488846,-88.77124335428277,64.12327862103831
2,15211808.231328314,10.232795837410322,0.4014389939429126,7.750303759321189,278.8745673737313,-2.725053012525425,492.93847214947215
3,19731284.73467395,19.67733114494388,5.165100856248243,4.283253347698092,453.1682172069826,-150.56865338146483,207.09257261560649
4,17000319.632220544,6.072314745979843,4.999472907233307,-1.874687029506801,47.50681310697728,-198.3211527885593,-67.36064222574633
5,17374548.547367983,15.67439310319448,4.683024712346898,1.8291132356840656,683.1640492479011,-61.4854785156646,105.80170158403068
6,18700732.30783647,6.739610599954515,4.991497223070692,-5.75709204911998,86.76863681356384,108.3974183298644,-251.70794708091955
7,17977841.94014943,2.726610245363388,0.6850737636030718,1.035262159828213,-181.54759336586224,-49.48404997557957,-62.58455049474988
