#,PSRJ,PMRA,PMDEC,PX,POSEPOCH,Gl,Gb,RAJD,DECJD,P0,P1,DM,TAU_SC,S400,S1400,S2000,DIST,ZZ,XX,YY,ASSOC,SURVEY,,,,,,,,
,,[mas/yr],[mas/yr],[mas],[MJD],[deg],[deg],[deg],[deg],[s],[s/s],[cm^-3pc],[s],[mJy],[mJy],[mJy],[kpc],[kpc],[kpc],[kpc],,,,,,,,,,
485,J1124-5638,NAN,NAN,NAN,51752,291.209,4.246,171.23529167,-56.64436111,0.18556,9E-18,289.5,NAN,NAN,0.31,NAN,2.639,0.195,-2.454,7.548,NAN,pksmb,htru_pks,,,,,,,
486,J1124-5916,NAN,NAN,NAN,54683.28,292.038,1.752,171.1625,-59.27194444,0.135477,7.53E-13,330,NAN,NAN,0.08,NAN,5,0.153,-4.633,6.625,SNR:G292.0+1.8,GRS:2FGL_J1124.6-5913[naa,misc,,,,,,,
487,J1124-6421,NAN,NAN,NAN,51400,293.747,-3.036,171.24791667,-64.35472222,0.479099,6.2E-16,298,NAN,NAN,0.19,NAN,2.702,-0.143,-2.47,7.413,NAN,pksmb,htru_pks,,,,,,,
488,J1126-27,NAN,NAN,NAN,56657,280.682,31.537,171.5,-27.61666667,0.358161,NAN,26.86,NAN,NAN,NAN,NAN,0.436,0.228,-0.365,8.431,NAN,gbncc,,,,,,,,
489,J1126-38,NAN,NAN,NAN,57388,285.214,21.292,171.575,-38.63333333,0.88755,NAN,46,NAN,NAN,NAN,NAN,1.013,0.368,-0.911,8.252,NAN,pks_superb,,,,,,,,
490,J1126-6054,NAN,NAN,NAN,47909.9,292.834,0.292,171.7192,-60.9111,0.202737,2.81E-16,280.27,NAN,NAN,1.4,NAN,2.426,0.012,-2.236,7.559,NAN,pks1,pksmb,htru_pks,,,,,,
491,J1126-6942,NAN,NAN,NAN,57600,295.631,-8.048,171.59025,-69.70438889,0.579419,3.29E-15,55.33,NAN,9,0.3,NAN,1.185,-0.166,-1.058,7.992,NAN,pks70,pkssw,htru_pks,,,,,,
492,J1128-6219,NAN,NAN,NAN,51660,293.495,-0.972,172.19458333,-62.31916667,0.515984,1.1E-17,675,NAN,NAN,0.27,NAN,7.401,-0.125,-6.786,5.55,NAN,pksmb,htru_pks,,,,,,,
493,J1129-53,NAN,NAN,NAN,54831,290.798,7.41,172.3375,-53.51666667,1.06288,NAN,77,NAN,NAN,NAN,NAN,1.457,0.188,-1.351,7.987,NAN,pkssw,,,,,,,,
494,J1130-5826,NAN,NAN,NAN,51696,292.46,2.778,172.56804167,-58.43397222,0.162323,1.59E-17,261.1,NAN,NAN,0.18,NAN,2.408,0.117,-2.223,7.581,NAN,pksmb,htru_pks,,,,,,,
495,J1130-5925,NAN,NAN,NAN,51172,292.755,1.83,172.5435,-59.42613889,0.680984,9.52E-16,264.4,NAN,NAN,0.12,NAN,2.387,0.076,-2.2,7.577,NAN,pksmb,htru_pks,,,,,,,
496,J1130-6807,NAN,NAN,NAN,50145.25,295.484,-6.431,172.63297083,-68.12458889,0.256353,4.6E-16,148.73,NAN,8,0.55,NAN,1.972,-0.221,-1.769,7.657,NAN,pks70,htru_pks,,,,,,,
497,J1132+25,NAN,NAN,NAN,NAN,214.581,72.285,173.20833333,25.25,1.002,NAN,23,NAN,NAN,NAN,NAN,25,23.815,-4.318,14.763,NAN,misc,,,,,,,,
498,J1132-4700,NAN,NAN,NAN,56122,289.177,13.736,173.0605,-47.01013889,0.325633,7.77E-16,123,NAN,NAN,0.49,NAN,2.688,0.638,-2.466,7.642,NAN,htru_pks,,,,,,,,
499,J1132-5627,NAN,NAN,NAN,52165,292.11,4.741,173.06558333,-56.45802778,0.175166,6.8E-17,305.7,NAN,NAN,0.09,NAN,2.911,0.241,-2.688,7.408,NAN,pksmb,htru_pks,,,,,,,
500,J1133-6250,NAN,NAN,NAN,50013.17,294.213,-1.296,173.464375,-62.84738889,1.022875,4.52E-16,567.8,0.02,NAN,7,NAN,7.448,-0.169,-6.791,5.446,NAN,pks1,pksmb,htru_pks,,,,,,
501,J1135-49,NAN,NAN,NAN,NAN,290.526,11.619,173.98333333,-49.42527778,NAN,NAN,114,NAN,NAN,NAN,NAN,2.129,0.429,-1.953,7.769,NAN,htru_pks,,,,,,,,
502,J1135-6055,NAN,NAN,NAN,55000,293.775,0.589,173.75,-60.91666667,0.114943,7.93E-14,NAN,NAN,NAN,NAN,NAN,NAN,0,0,8.5,GRS:3FGL_J1135.2-6054[aaa+15],FermiBlind,,,,,,,,
503,J1136+1551,-73.774,366.58,2.69,46407,241.895,69.196,174.01299917,15.85393972,1.187913,3.73E-15,4.84,0,257,20,NAN,0.372,0.348,-0.116,8.562,XRS:[kpg06a],misc,mol2,ar4,gb4,lotaas,,,,
504,J1136-5525,10,43,NAN,57600,292.308,5.89,174.009,-55.41858333,0.364713,8.23E-15,85.5,NAN,23,6,NAN,1.522,0.156,-1.401,7.925,NAN,mol2,pks70,pkssw,htru_pks,,,,,
505,J1136-6527,NAN,NAN,NAN,57895,295.241,-3.71,174.10508333,-65.45541667,1.189309,1.75E-15,164.1,NAN,NAN,0.14,NAN,1.955,-0.127,-1.765,7.668,NAN,htru_pks,,,,,,,,
506,J1137-6700,NAN,NAN,NAN,49139,295.793,-5.167,174.38370417,-67.00916944,0.556216,7.17E-17,228.04,NAN,14,1.5,NAN,2.603,-0.234,-2.334,7.372,NAN,pks70,pksmb,htru_pks,,,,,,
507,J1138-6207,NAN,NAN,NAN,51171,294.506,-0.463,174.59008333,-62.13313889,0.117564,1.25E-14,520.4,NAN,NAN,0.57,NAN,7.197,-0.058,-6.548,5.515,NAN,pksmb,htru_pks,,,,,,,
508,J1141-3107,NAN,NAN,NAN,49765.9,285.746,29.393,175.3567875,-31.13127778,0.538432,1.96E-15,30.77,NAN,10,0.8,NAN,0.783,0.384,-0.657,8.315,NAN,pks70,pkssw,,,,,,,
509,J1141-3322,NAN,NAN,NAN,57600,286.586,27.272,175.42815,-33.37703056,0.291468,4.65E-16,46.45,NAN,8,1.6,NAN,1.853,0.849,-1.578,8.03,NAN,pks70,pkssw,,,,,,,
510,J1142-6230,NAN,NAN,NAN,51137,295.11,-0.675,175.71875,-62.50108333,0.558383,7.79E-17,343.8,NAN,NAN,0.26,NAN,3.483,-0.041,-3.154,7.022,NAN,pksmb,htru_pks,,,,,,,
511,J1143-5158,NAN,NAN,NAN,48917,292.383,9.492,175.81277083,-51.97774722,0.675646,6.95E-16,159.03,NAN,7,0.3,NAN,2.397,0.395,-2.186,7.6,NAN,pks70,htru_pks,ghrss,,,,,,
512,J1143-5536,NAN,NAN,NAN,55213,293.334,5.993,175.79079167,-55.60125,0.685358,4.85E-16,185,NAN,NAN,0.2,NAN,2.22,0.232,-2.027,7.625,NAN,htru_pks,,,,,,,,
513,J1144-6146,NAN,NAN,NAN,51032,295.116,0.073,176.145,-61.78027778,0.987783,-3.81E-17,78.7,NAN,NAN,0.45,NAN,1.395,0.002,-1.263,7.908,NAN,pksmb,htru_pks,,,,,,,
514,J1144-6217,NAN,NAN,NAN,51110,295.186,-0.438,176.00879167,-62.29175,0.850665,3.08E-14,284.7,NAN,NAN,0.2,NAN,2.645,-0.02,-2.393,7.374,NAN,pksmb,htru_pks,,,,,,,
515,J1146-6030,NAN,NAN,NAN,57600,294.977,1.343,176.53214667,-60.51656167,0.273375,1.79E-15,111.68,NAN,17,3.2,NAN,1.634,0.038,-1.481,7.81,NAN,mol2,pks1,pks70,pksmb,htru_pks,,,,
516,J1147-66,NAN,NAN,NAN,56158,296.436,-3.944,176.75,-66,0.00372,NAN,133.8,NAN,NAN,0.8,NAN,1.789,-0.123,-1.598,7.705,NAN,pksmb,,,,,,,,
517,J1148-5725,NAN,NAN,NAN,52837,294.507,4.418,177.118875,-57.42016667,3.559937,1.11E-14,174,NAN,NAN,0.12,NAN,2.063,0.159,-1.872,7.647,NAN,pksmb,,,,,,,,
518,J1148-6415,NAN,NAN,NAN,51474,296.177,-2.214,177.1575,-64.25916667,3.241029,2.7E-15,241,NAN,NAN,0.06,NAN,2.454,-0.095,-2.201,7.418,NAN,pksmb,htru_pks,,,,,,,
519,J1151-6108,NAN,NAN,NAN,56714,295.814,0.909,177.98691667,-61.13822222,0.101633,1.03E-14,216,NAN,NAN,0.06,NAN,2.216,0.035,-1.995,7.535,NAN,htru_pks,,,,,,,,
520,J1152-5800,NAN,NAN,NAN,52746,295.126,3.961,178.04166667,-58.00944444,1.789829,1.28E-15,191,NAN,NAN,0.12,NAN,2.156,0.149,-1.947,7.587,NAN,pksmb,,,,,,,,
521,J1152-6012,NAN,NAN,NAN,51397,295.716,1.843,178.22416667,-60.20583333,0.37657,6.69E-15,74,NAN,NAN,0.17,NAN,1.367,0.044,-1.231,7.907,NAN,pksmb,htru_pks,,,,,,,
522,J1153-21,NAN,NAN,NAN,56657,285.188,39.55,178.25,-21.3,2.34348,NAN,34.8,NAN,NAN,NAN,NAN,2.332,1.485,-1.735,8.029,NAN,gbncc,,,,,,,,
523,J1154-6250,NAN,NAN,NAN,51464,296.467,-0.681,178.58375,-62.83408333,0.282012,5.59E-16,74,NAN,NAN,0.07,NAN,1.358,-0.016,-1.216,7.895,NAN,pksmb,,,,,,,,
524,J1156-5707,NAN,NAN,NAN,55354,295.448,4.949,179.03104167,-57.11725,0.288417,2.65E-14,243.2,NAN,NAN,0.27,NAN,2.848,0.246,-2.562,7.281,NAN,pksmb,,,,,,,,
525,J1156-5909,NAN,NAN,NAN,49314.78,295.912,2.966,179.08958333,-59.15341667,1.037931,1.02E-15,219.2,NAN,7,NAN,NAN,2.331,0.121,-2.094,7.483,NAN,pks70,,,,,,,,
526,J1157-6224,NAN,NAN,NAN,57600,296.705,-0.199,179.3133625,-62.41414722,0.400526,3.93E-15,325.2,0,145,14,NAN,4,-0.014,-3.573,6.702,NAN,mol1,mol2,pks1,pks70,pksmb,htru_pks,,,
527,J1159-6409,NAN,NAN,NAN,51767,297.295,-1.865,179.84041667,-64.16583333,0.667486,2.4E-17,178,NAN,NAN,0.47,NAN,2.035,-0.066,-1.807,7.567,NAN,pksmb,htru_pks,,,,,,,
528,J1159-7910,NAN,NAN,NAN,49524.41,300.412,-16.551,179.89879167,-79.16822222,0.525074,2.82E-15,59.24,NAN,6,0.7,NAN,1.607,-0.458,-1.328,7.72,NAN,pks70,pkssw,,,,,,,
529,J1201-6306,NAN,NAN,NAN,51676,297.309,-0.793,180.345875,-63.11652778,0.592136,3.56E-15,683,NAN,NAN,0.13,NAN,9.538,-0.132,-8.474,4.125,NAN,pksmb,htru_pks,,,,,,,
530,J1202-5820,-14,1,NAN,57600,296.528,3.919,180.61802083,-58.34267778,0.452803,2.13E-15,145.41,NAN,23,3,NAN,1.887,0.129,-1.684,7.659,NAN,mol2,pks1,pks70,pksmb,htru_pks,,,,
531,J1204-6843,NAN,NAN,NAN,51500,298.684,-6.237,181.153,-68.72144167,0.308861,2.17E-16,133.93,NAN,NAN,0.5,NAN,1.906,-0.207,-1.662,7.591,NAN,pkssw,htru_pks,,,,,,,
532,J1207-5050,NAN,NAN,NAN,55561,295.859,11.424,181.840875,-50.84175,0.00484,NAN,50.6,NAN,NAN,NAN,NAN,1.266,0.251,-1.117,7.959,GRS:2FGL_J1207.3-5055[naa+12],FermiAssoc,,,,,,,,
533,J1208-6238,NAN,NAN,NAN,56040,297.99,-0.178,182.05816667,-62.63425,0.440591,3.27E-12,NAN,NAN,NAN,NAN,NAN,NAN,0,0,8.5,GRS:3FGL_J1208.4-6239[aaa+15],FermiBlind,,,,,,,,
534,J1210-5226,NAN,NAN,NAN,53562,296.545,9.916,182.50379167,-52.44122222,0.424131,2.22E-17,NAN,NAN,NAN,NAN,NAN,2.6,0.448,-2.291,7.355,SNR:G296.5+10.0,XRS:1E_1207.4-5209,misc,,,,,,,
535,J1210-5559,NAN,NAN,NAN,57600,297.136,6.421,182.52494608,-55.98440281,0.279768,7.25E-16,174.35,0,23,2.3,NAN,2.372,0.265,-2.098,7.425,NAN,pks70,pkssw,htru_pks,,,,,,
536,J1210-6322,NAN,NAN,NAN,57648,298.395,-0.859,182.69491667,-63.37247222,1.163186,9.25E-15,547,NAN,NAN,0.15,NAN,9.548,-0.143,-8.398,3.96,NAN,htru_pks,,,,,,,,
537,J1210-6550,NAN,NAN,NAN,52499,298.774,-3.292,182.675,-65.83461111,4.23701,4.31E-16,37,NAN,NAN,0.17,NAN,0.923,-0.053,-0.808,8.056,NAN,pksmb,,,,,,,,
538,J1211-6324,NAN,NAN,NAN,51489,298.47,-0.888,182.85075,-63.41255556,0.433084,2.57E-16,333.8,NAN,NAN,0.45,NAN,8.049,-0.125,-7.075,4.664,NAN,pksmb,htru_pks,,,,,,,
539,J1214-5830,NAN,NAN,NAN,51546,298.065,4.012,183.53508333,-58.50719444,0.909823,5.34E-17,141.1,NAN,NAN,0.14,NAN,1.883,0.132,-1.658,7.616,NAN,pksmb,htru_pks,,,,,,,
540,J1215-5328,NAN,NAN,NAN,51500,297.459,9.009,183.75258333,-53.47544444,0.636414,1.15E-16,163,NAN,NAN,0.5,NAN,3.275,0.513,-2.87,7.008,NAN,pkssw,htru_pks,,,,,,,
541,J1216-50,NAN,NAN,NAN,55196,297.231,12.032,184.08333333,-50.45027778,6.355,NAN,110,NAN,NAN,NAN,NAN,2.302,0.48,-2.002,7.47,NAN,htru_pks,,,,,,,,
542,J1216-6223,NAN,NAN,NAN,55391,298.92,0.202,184.17483333,-62.39916667,0.374053,1.68E-14,790,NAN,NAN,0.23,NAN,18.316,0.064,-16.032,-0.357,NAN,pksmb,,,,,,,,
543,J1220-6318,NAN,NAN,NAN,51216,299.444,-0.652,185.07441667,-63.31291667,0.789212,8.03E-17,347,NAN,NAN,0.68,NAN,8.948,-0.102,-7.792,4.102,NAN,pksmb,htru_pks,,,,,,,
544,J1222-5738,NAN,NAN,NAN,51587,299.102,5.02,185.71791667,-57.63888889,1.081164,1.5E-16,74,NAN,NAN,0.11,NAN,1.408,0.123,-1.226,7.818,NAN,pksmb,,,,,,,,
545,J1223-5856,NAN,NAN,NAN,57405,299.35,3.732,185.91725,-58.94691667,0.288541,5.7E-18,233,NAN,NAN,0.38,NAN,4.77,0.31,-4.149,6.167,NAN,htru_pks,,,,,,,,
546,J1224-6208,NAN,NAN,NAN,51111,299.818,0.565,186.184375,-62.14475,0.585761,2.02E-14,454.2,NAN,NAN,0.23,NAN,9.876,0.097,-8.568,3.589,NAN,pksmb,htru_pks,,,,,,,
547,J1224-6407,20,2,NAN,55191,299.984,-1.415,186.092725,-64.13163056,0.21648,4.95E-15,97.69,NAN,48,8.9,NAN,4,-0.099,-3.464,6.502,XRS:[pb15],misc,mol2,pks1,pks70,pksmb,htru_pks,,,
548,J1225-5556,NAN,NAN,NAN,48660,299.313,6.746,186.4326125,-55.94531667,1.018453,2.06E-15,125.83,NAN,5,0.3,NAN,1.929,0.227,-1.67,7.562,NAN,pks70,htru_pks,,,,,,,
549,J1225-6035,NAN,NAN,NAN,51752,299.748,2.117,186.36929167,-60.59377778,0.626324,2.88E-16,176.1,NAN,NAN,0.26,NAN,2.194,0.081,-1.904,7.412,NAN,pksmb,htru_pks,,,,,,,
550,J1225-6408,NAN,NAN,NAN,43558.59,300.131,-1.414,186.42833333,-64.14527778,0.419618,9.46E-16,415.1,NAN,11,1.8,NAN,9.846,-0.243,-8.513,3.559,NAN,mol2,pks70,pksmb,htru_pks,,,,,
551,J1226+0005,NAN,NAN,NAN,57785,289.28,62.298,186.56,0.09555556,2.285076,2.47E-15,18.5,NAN,0.5,NAN,NAN,1.868,1.654,-0.82,8.213,NAN,lotaas,,,,,,,,
552,J1226-3223,NAN,NAN,NAN,56114,296.908,30.2,186.69428333,-32.38361111,6.193004,7.05E-15,36.7,NAN,NAN,NAN,NAN,2.175,1.094,-1.676,7.649,NAN,pkssw,,,,,,,,
553,J1227-63,NAN,NAN,NAN,56657,300.199,-0.407,186.8,-63.15,0.444578,NAN,359,NAN,NAN,NAN,NAN,9.406,-0.067,-8.129,3.769,NAN,htru_pks,,,,,,,,
554,J1231-4609,NAN,NAN,NAN,53000,299.379,16.573,187.94066667,-46.16255556,0.877239,3.8E-17,76,NAN,NAN,1.7,NAN,2.43,0.693,-2.03,7.357,NAN,pkssw,,,,,,,,
555,J1231-6303,NAN,NAN,NAN,57600,300.644,-0.273,187.80416667,-63.055,1.351236,1.32E-16,301,NAN,NAN,1.5,NAN,8.279,-0.039,-7.123,4.28,NAN,pksmb,htru_pks,,,,,,,
556,J1232-4742,NAN,NAN,NAN,53000,299.604,15.034,188.07958333,-47.71413889,1.872994,1.4E-17,26,NAN,NAN,NAN,NAN,0.871,0.226,-0.731,8.084,NAN,pkssw,htru_pks,,,,,,,
557,J1233-6312,NAN,NAN,NAN,51396,300.915,-0.406,188.38125,-63.20805556,0.564759,6.92E-15,414,NAN,NAN,0.25,NAN,10.02,-0.071,-8.596,3.352,NAN,pksmb,htru_pks,,,,,,,
558,J1233-6344,NAN,NAN,NAN,51451,300.968,-0.945,188.41625,-63.74861111,0.756892,3.88E-15,495,NAN,NAN,0.07,NAN,10.379,-0.171,-8.898,3.16,NAN,pksmb,htru_pks,,,,,,,
559,J1234-3630,NAN,NAN,NAN,57602,299.071,26.231,188.55,-36.51141667,0.569242,8.66E-16,58.8,NAN,NAN,NAN,NAN,5.728,2.532,-4.491,6.003,NAN,gbncc,,,,,,,,
560,J1235-54,NAN,NAN,NAN,43558.61,300.597,7.849,188.82916667,-54.95,0.638234,NAN,100,NAN,4.5,1,NAN,1.741,0.238,-1.485,7.622,NAN,mol2,pkssw,,,,,,,
561,J1235-6354,NAN,NAN,NAN,51700,301.231,-1.088,188.9905,-63.90844444,0.256778,1.97E-16,439.9,NAN,NAN,0.16,NAN,10.296,-0.195,-8.802,3.163,NAN,pksmb,htru_pks,,,,,,,
562,J1236-0159,NAN,NAN,NAN,57803,295.065,60.65,189.01041667,-1.98611111,3.597574,5.1E-15,19.08,NAN,NAN,NAN,NAN,2.039,1.777,-0.905,8.077,NAN,lotaas,,,,,,,,
563,J1236-5033,NAN,NAN,NAN,51500,300.584,12.246,189.24645833,-50.56008333,0.29476,1.56E-16,105.02,NAN,NAN,0.6,NAN,2.755,0.584,-2.318,7.13,NAN,pkssw,htru_pks,,,,,,,
564,J1237-6725,NAN,NAN,NAN,51702,301.584,-4.591,189.35791667,-67.42608333,2.110974,2.19E-15,176.5,NAN,NAN,0.4,NAN,3.036,-0.243,-2.578,6.915,NAN,pksmb,htru_pks,,,,,,,
565,J1238+2152,NAN,NAN,NAN,51438,272.789,83.962,189.59656936,21.86974274,1.118591,1.45E-15,17.97,NAN,2,NAN,NAN,2.555,2.541,-0.268,8.487,NAN,ar4,lotaas,,,,,,,
566,J1239+2453,-104.5,49.4,1.16,46531,252.45,86.541,189.91858917,24.897025,1.382449,9.6E-16,9.25,0,110,23.2,NAN,0.84,0.838,-0.048,8.515,NAN,gb1,ar4,gb4,lotaas,,,,,
567,J1239-48,NAN,NAN,NAN,NAN,300.78,14.82,189.75,-48,0.6539,NAN,107.6,NAN,NAN,NAN,NAN,5.355,1.37,-4.448,5.851,NAN,ghrss,,,,,,,,
568,J1239-6832,NAN,NAN,NAN,57600,301.879,-5.693,189.99566667,-68.54137222,1.301923,1.19E-14,94.3,NAN,6.5,0.96,NAN,1.575,-0.156,-1.331,7.672,NAN,mol2,pks70,pkssw,pksmb,htru_pks,,,,
569,J1240-4124,NAN,NAN,NAN,43564.84,300.688,21.409,190.073375,-41.41436111,0.512242,1.74E-15,44.1,NAN,3.5,0.6,NAN,1.682,0.614,-1.347,7.701,NAN,mol2,pkssw,ghrss,,,,,,
570,J1242+39,NAN,NAN,NAN,57022,130.76,77.36,190.64166667,39.63333333,1.31,NAN,26,NAN,NAN,NAN,NAN,25,24.394,4.144,12.072,NAN,misc,lotaas,,,,,,,
571,J1243+17,NAN,NAN,NAN,NAN,290.63,80.536,190.75,17.86666667,1.2165,NAN,5,NAN,NAN,NAN,NAN,0.405,0.399,-0.062,8.477,NAN,misc,,,,,,,,
572,J1243-5735,NAN,NAN,NAN,51590,301.876,5.26,190.89741667,-57.59522222,0.471225,8E-17,270.6,NAN,NAN,0.14,NAN,14.144,1.297,-11.96,1.062,NAN,pksmb,,,,,,,,
573,J1243-6423,NAN,NAN,NAN,57600,302.051,-1.532,190.82125417,-64.389925,0.388485,4.49E-15,297.25,NAN,110,34.2,NAN,2,-0.053,-1.695,7.439,NAN,mol1,mol2,pks1,pks70,pksmb,htru_pks,,,
574,J1244-5053,NAN,NAN,NAN,51500,301.764,11.966,191.04783333,-50.88905556,0.275207,1E-15,109.95,NAN,NAN,0.2,NAN,3.422,0.71,-2.846,6.738,NAN,pkssw,htru_pks,,,,,,,
575,J1244-6531,NAN,NAN,NAN,54196.5,302.227,-2.658,191.15958333,-65.52,1.546819,7.18E-15,388,NAN,NAN,0.17,NAN,10.862,-0.504,-9.179,2.714,NAN,pksmb,htru_pks,,,,,,,
576,J1245-6238,NAN,NAN,NAN,51206,302.233,0.215,191.338,-62.64886111,2.283093,1.09E-14,336.2,NAN,NAN,0.14,NAN,9.956,0.037,-8.422,3.19,NAN,pksmb,htru_pks,,,,,,,
577,J1246+2253,NAN,NAN,NAN,53400,288.809,85.64,191.70567917,22.89535278,0.473871,8.89E-17,17.79,NAN,29,0.39,NAN,2.465,2.458,-0.177,8.44,NAN,ar4,lotaas,,,,,,,
578,J1248-6344,NAN,NAN,NAN,51451,302.637,-0.866,192.19316667,-63.736,0.198335,1.69E-14,433,NAN,NAN,0.2,NAN,10.699,-0.162,-9.009,2.731,NAN,pksmb,,,,,,,,
579,J1248-6444,NAN,NAN,NAN,56715,302.623,-1.863,192.13695833,-64.73333333,1.234893,1.93E-15,236.4,NAN,NAN,0.15,NAN,5.969,-0.194,-5.025,5.284,NAN,htru_pks,,,,,,,,
580,J1249-6507,NAN,NAN,NAN,51724,302.771,-2.251,192.47633333,-65.12216667,0.434445,1.21E-17,215,NAN,NAN,0.1,NAN,5.123,-0.201,-4.304,5.729,NAN,pksmb,htru_pks,,,,,,,
581,J1251-7407,NAN,NAN,NAN,55332,302.963,-11.249,192.97058333,-74.12084444,0.327058,3.65E-16,89.81,NAN,NAN,0.2,NAN,1.86,-0.363,-1.531,7.507,NAN,htru_pks,,,,,,,,
582,J1252-6314,NAN,NAN,NAN,51155,303.075,-0.371,193.17758333,-63.24241667,0.823339,1.08E-16,278.4,NAN,NAN,0.66,NAN,7.317,-0.047,-6.131,4.507,NAN,pksmb,htru_pks,,,,,,,
583,J1253-5820,24,13,NAN,49020,303.2,4.526,193.36809167,-58.34469167,0.255496,2.1E-15,100.58,NAN,20,4.1,NAN,1.641,0.129,-1.369,7.604,NAN,pks70,pksmb,htru_pks,,,,,,
584,J1254-6150,NAN,NAN,NAN,51368,303.298,1.022,193.63533333,-61.84744444,0.184502,6.24E-16,95,NAN,NAN,0.15,NAN,1.531,0.027,-1.279,7.66,NAN,pksmb,,,,,,,,
585,J1255-46,NAN,NAN,NAN,56657,303.578,16.867,193.75,-46,0.052,NAN,42.9,NAN,NAN,NAN,NAN,1.359,0.394,-1.084,7.781,NAN,ghrss,,,,,,,,
586,J1255-6131,NAN,NAN,NAN,51449,303.466,1.348,193.97858333,-61.51947222,0.657974,4E-15,206.5,NAN,NAN,0.13,NAN,4.824,0.113,-4.023,5.841,NAN,pksmb,htru_pks,,,,,,,
587,J1255-62,NAN,NAN,NAN,56657,303.373,0.068,193.825,-62.8,0.182912,NAN,713,NAN,NAN,0.13,NAN,19.757,0.024,-16.499,-2.368,NAN,htru_pks,,,,,,,,
588,J1257-1027,-7.15,12.08,0.13,49667,305.205,52.395,194.26984375,-10.45154194,0.617308,3.63E-16,29.63,NAN,12,1.2,NAN,25,19.806,-12.465,-0.295,NAN,gb2,pks70,,,,,,,
589,J1259-6741,NAN,NAN,NAN,57600,303.688,-4.834,194.84433333,-67.69451944,0.66333,8.55E-16,94.7,NAN,4.5,1.3,NAN,1.574,-0.133,-1.305,7.63,NAN,mol2,pks70,pksmb,htru_pks,,,,,
590,J1300-6602,NAN,NAN,NAN,57554,303.848,-3.182,195.11220833,-66.038,1.143316,3.35E-16,460,NAN,NAN,0.12,NAN,15.566,-0.864,-12.908,-0.157,NAN,htru_pks,,,,,,,,
591,J1301-6305,NAN,NAN,NAN,51206,304.1,-0.244,195.44066667,-63.09275,0.184528,2.67E-13,374,NAN,NAN,0.49,NAN,10.717,-0.046,-8.874,2.492,NAN,pksmb,htru_pks,,,,,,,
592,J1301-6310,NAN,NAN,NAN,51487,304.064,-0.328,195.36791667,-63.17791667,0.66383,5.64E-14,86.1,NAN,NAN,0.11,NAN,1.458,-0.008,-1.208,7.683,XRS:[pb15],pksmb,,,,,,,,
593,J1302-32,NAN,NAN,NAN,55196,305.539,30.818,195.5,-32,0.00377,NAN,26.2,NAN,0.5,NAN,NAN,1.493,0.765,-1.043,7.755,GRS:2FGL_J1302.4-3257[naa+12],FermiAssoc,,,,,,,,
594,J1302-63,NAN,NAN,NAN,50571,304.107,-0.901,195.51666667,-63.74805556,0.325724,NAN,875,NAN,NAN,0.1,NAN,25,-0.393,-20.697,-5.517,NAN,misc,pksmb,htru_pks,,,,,,
595,J1302-6313,NAN,NAN,NAN,51342,304.157,-0.379,195.58,-63.22472222,0.967846,6.33E-15,500,NAN,NAN,0.18,NAN,11.331,-0.075,-9.376,2.138,NAN,pksmb,,,,,,,,
596,J1303+38,NAN,NAN,NAN,NAN,111.027,78.636,195.825,38.21666667,0.3963,NAN,19,NAN,NAN,NAN,NAN,3.19,3.127,0.587,8.726,NAN,lotaas,,,,,,,,
597,J1303-6305,NAN,NAN,NAN,51138,304.24,-0.241,195.75008333,-63.08355556,2.306642,2.18E-15,343,NAN,NAN,0.36,NAN,10.248,-0.043,-8.472,2.734,NAN,pksmb,htru_pks,,,,,,,
598,J1305-6203,NAN,NAN,NAN,55390,304.561,0.772,196.33808333,-62.05585278,0.427774,3.22E-14,471,NAN,NAN,0.67,NAN,11.6,0.156,-9.552,1.92,NAN,pksmb,htru_pks,,,,,,,
599,J1305-6256,NAN,NAN,NAN,51138,304.526,-0.116,196.36666667,-62.94416667,0.478231,2.11E-15,967,NAN,NAN,0.32,NAN,25,-0.051,-20.597,-5.67,NAN,pksmb,htru_pks,,,,,,,
600,J1305-6455,NAN,NAN,NAN,57600,304.411,-2.093,196.34779167,-64.92458333,0.571652,4.03E-15,505,0,29,2.1,NAN,11.9,-0.435,-9.811,1.78,NAN,mol2,pks1,pks70,pksmb,htru_pks,,,,
601,J1305-66,NAN,NAN,NAN,51559.7,304.338,-3.817,196.4,-66.65,0.197276,NAN,316.1,NAN,NAN,0.2,NAN,11.627,-0.774,-9.579,1.956,NAN,pksmb,,,,,,,,
602,J1306-6242,NAN,NAN,NAN,51448,304.686,0.119,196.68583333,-62.70083333,0.981902,5.86E-15,480,NAN,NAN,0.14,NAN,11.43,0.024,-9.399,1.995,NAN,pksmb,htru_pks,,,,,,,
603,J1306-6617,NAN,NAN,NAN,57600,304.462,-3.463,196.65883333,-66.28922222,0.473028,5.98E-15,436.9,0.01,NAN,5,NAN,15.872,-0.959,-13.063,-0.465,NAN,pks1,pksmb,htru_pks,,,,,,
604,J1307-6318,NAN,NAN,NAN,51206,304.781,-0.497,196.97791667,-63.30972222,4.962427,2.11E-14,374,NAN,NAN,1.4,NAN,10.783,-0.094,-8.856,2.349,NAN,pksmb,htru_pks,,,,,,,
605,J1307-67,NAN,NAN,NAN,55196,304.518,-4.236,196.92083333,-67.0575,3.6512,NAN,44,NAN,NAN,NAN,NAN,1.093,-0.081,-0.898,7.882,NAN,pksmb,htru_pks,,,,,,,
