age,r,phi,x,y,z,RA,DEC,v_r,v_phi,v_z,v_RA,v_DEC
[yr],[kpc],[rad],[kpc],[kpc],[kpc],[deg],[deg],[km / s],[km / s],[km / s],[mas / yr],[mas / yr]
93183109.07822862,7.581586149947806,5.769940121070199,6.604741905200895,-3.7226110345782355,-100.40276054689443,3.8691617368602333,-27.538645946956574,26.702016550091223,73.96961238012736,-1042.116478987203,0.6000771668102348,-0.27273707884564424
70965055.12871984,17.744208243471366,5.667437607047225,14.485339370229914,-10.248505721174402,-23.28622961494095,325.2383897151982,-15.505495298156548,224.51216108736332,-67.5258332577306,-276.5685453504677,0.4185086944145624,-1.457245228449173
26651450.61538779,22.243663635036306,10.080132698781593,-17.635483572930188,-13.556190137997701,5.3992770801926895,220.46452291882883,-47.99603272810276,426.983197944751,-266.2788489208991,186.97101314151018,-3.987329407579735,-1.1766382092409018
85476244.54452626,119.52557898011102,2.8110145567360947,-113.05384943820458,38.796793137249466,27.57391218423467,137.55845459844844,-28.42020009293622,1315.6527052482986,-15.264450047380274,312.7230837094945,-0.14063562677937938,0.0034385314815552175
46096392.44317432,13.356753809636553,1.792832257127934,-2.9413712795500873,13.02886055367385,14.899266236119177,170.5420842741311,25.405061412139858,221.86193217489554,7.883485994220166,266.3767962306439,-2.9250386317609753,-2.2710158702227186
27066004.45351008,19.576128099844336,8.946896083696105,-17.38303477671445,9.003049113108903,0.1312778780496287,136.7269922322222,-46.86660412095428,84.1306176196156,-212.1481380179625,-1.5196131676193323,-2.00884465964886,1.9997563398835971
61381657.71411576,3.231098987948112,1.4619931863435771,0.35086050472940716,3.211992773363654,-1.7652810303366446,287.79695870289,-33.74944576092194,12.651108896732433,-123.55549255425328,-99.5612902896784,2.201534202562069,-5.69178022772454
47612277.26561368,1.2203393742788406,-8.68035168207502,-0.8975312347596309,-0.8268408982664831,0.030173078655556643,262.77341783406814,-33.47662476160154,156.6938087937437,-194.44957127851495,19.83467404336707,-6.34348951859613,-9.16917930012959
7888219.297281119,4.888496125959593,4.912781141001709,0.9730730409891954,-4.790670436423485,-0.4569027577086379,270.66184973242264,-26.295654428281523,13.208970428497219,-204.61367920613424,16.46587661234955,-3.5930303821733,-6.060581219691907
78077393.13104416,2.136260409832013,2.993567458089621,-2.1128988231491803,0.3150668210879229,-8.101662424864994,320.1481093909143,-52.03757065210253,73.66890047095961,-228.79366413028788,42.65864242648809,2.867062594163706,-5.624384521222097
52454203.68158948,7.259245328166257,3.3141287084183797,-7.1514639896938155,-1.246276670172494,-6.4618402067079685,290.6835557088991,-71.52984101411202,73.99881184603335,-149.18185599254258,-28.03947841421857,-0.3105436520548617,-5.598551113143123
46501894.561143406,10.567614769464086,9.006175210756204,-9.655183578026918,4.295568878553204,-0.07621296064496852,172.60367726405087,-61.85365599070591,27.449022496260056,-182.8220233494402,5.21815298688835,-4.8458942392712885,1.5240684440512413
48918993.540890865,2.4016912571329656,6.433102603016153,2.3747525279396355,0.35870785554993806,3.6881594349758604,254.45935257589514,-2.975265893681069,-242.1383170961241,-196.72350529979622,-28.810542924119666,-4.645951436795609,-10.495351398632069
73412817.79849644,12.690116182408078,3.1857764136589832,-12.677731345481508,-0.5605146338954907,-0.3063206210594322,198.8229074648212,-63.87146703943016,94.29199417604299,-173.46841483566055,2.780807872874106,-4.716057108906168,-0.46473949116141255
9489523.24987041,0.5451846141534077,-5.055326173835373,0.1833208902263278,0.5134391051684968,-0.2358714553886686,268.83967893981765,-28.67804719868468,-33.87135345419063,-257.902303204035,18.805222064304697,-0.5478797452670259,-0.18542124040027907
2502317.083762113,6.689001018071847,3.1064201554779296,-6.684863947554529,0.23522036997650614,0.09929165163222295,227.98168700345295,-57.31745612952783,-119.85471481048283,-238.91770964809146,236.00423242998087,-6.538790294602171,1.386529360628097
93183664.73709361,7.4710053979518,8.216864325883162,-2.6519877771644595,6.984474388670578,2.3065970420084634,189.94902177228752,-25.912133729725024,111.67600586541278,-156.6585572699265,57.086322793585886,-12.033842408643453,1.684050897015558
53295966.49405772,29.793923644565044,9.909292407252018,-26.36467920057276,-13.87737643753524,14.61542194009649,201.6249106142841,-39.400836930140805,624.3540379349985,26.906256127446554,225.70790845883784,-1.4559706340773593,-0.833750082783906
85871347.19375123,4.9076275784384995,1.5294095163494184,0.20305307355189295,4.903425119033762,0.005739257905971789,268.3688275866203,-26.211988346116787,1.7190497657684485,-218.58817675915665,0.6042768206631676,-0.4322387243294487,-1.5648405172837359
71812031.38306901,47.39194681915821,6.761739939888714,42.06800359479246,21.82383323017403,28.709941567676214,255.23702733607723,75.55847591832921,594.1759427730211,-153.51519195815672,379.2218953986031,-0.44023537552060465,-0.0015665848610670057
51279645.14632099,11.271783178543135,3.063323068160902,-11.237274607646093,0.8813372886927677,18.7437220757998,193.48222037656217,-8.736765539677148,126.5721396431405,-149.77434118534018,317.45495925780557,-3.145127714643321,0.108178517623795
60943874.86002306,16.58919508626562,4.858121764613168,2.409041191475065,-16.413345611055526,0.20937494587067992,269.01870961780673,-23.900765712928298,238.8353664683837,-174.11914266893265,9.348117194013124,-1.7193948980536304,-2.951942106567029
27607490.605832465,7.003663525103712,12.98926907843261,6.38666337267753,2.8743405742826353,-8.743387729600277,329.9466164375994,-9.190089885763632,618.7507219958034,280.10350422058,-251.49789076415303,9.299781637039798,5.143846510218545
90237745.02460223,81.15240889465504,2.404640130798098,-60.09498211643447,54.53720375881686,-61.215460387605745,71.7428514170532,-31.349713695506402,879.6283436336254,-71.14094895988275,-654.0060920736161,0.33910517527585016,0.07852343818855564
