#;PSRJ;PMRA;PMDEC;PX;POSEPOCH;Gl;Gb;RAJD;DECJD;P0;P1;DM;W50;W10;TAU_SC;S400;S1400;S2000;Sgamma;DIST;DIST_DM;ZZ;XX;YY;ASSOC;SURVEY;PSR
;;[mas/yr];[mas/yr];[mas];[MJD];[deg];[deg];[deg];[deg];[s];[s/s];[cm^-3pc];[ms];[ms];[s];[mJy];[mJy];[mJy];[erg/cm2 s];[kpc];[kpc];[kpc[;[kpc];[kpc];;;TYPE
73;J1747-2958;12.9;NAN;NAN;52613;359.305;-0.841;266.81618;-29.96694;0.0988139764825;6.132329E-14;101.5;7;NAN;NAN;NAN;0.25;NAN;2.111E-10;2.52;2.52;-0.037;-0.031;5.98;GRS:4FGL_J1747.2-2957[fermi21],PWN:G359.23-0.82[gvc+04],GRS:1AGL_J1746-3017;misc;NAN
74;J1747-4036;-1.3;-2;NAN;56676;350.208;-6.412;266.95298545;-40.6152193;0.001645609614493;1.3142E-20;152.9595;NAN;NAN;NAN;NAN;0.9;0.5;9.91E-12;7.151;7.151;-0.799;-1.209;1.497;GRS:4FGL_J1747.7-4037[fermi21];FermiAssoc;HE
75;J1801-2451;-11;-1;NAN;53348;5.254;-0.882;270.25007;-24.85764;0.124924206569;1.279057E-13;291.55;4.6;NAN;NAN;7.8;1.46;NAN;1.2E-11;3.803;3.803;-0.059;0.348;4.713;GRS:4FGL_J1801.2-2450[fermi21],SNR:G5.4-1.2[fk91],XRS:PWN[kggl01];misc,pksmb,htru_pks;NAN
76;J1803-2149;NAN;NAN;NAN;55225;8.14;0.187;270.79013;-21.8203;0.106332094095;1.951385E-14;NAN;NAN;NAN;NAN;NAN;NAN;NAN;9.236E-11;NAN;NAN;0;0;8.5;GRS:4FGL_J1803.1-2148[fermi21];FermiBlind;NRAD
77;J1809-2332;12;-24;NAN;55770;7.39;-1.995;272.45937;-23.53963;0.146788548116;3.44207E-14;NAN;NAN;NAN;NAN;NAN;NAN;NAN;4.739E-10;0.88;NAN;-0.031;0.113;7.628;GRS:4FGL_J1809.8-2332[fermi21],PWN:[brrk02],SNR:G7.5-1.7[rb08];FermiBlind;NRAD
78;J1810+1744;NAN;NAN;NAN;55196;44.642;16.806;272.65533;17.743717;0.00166;4.63E-21;39.7;NAN;NAN;NAN;20;NAN;NAN;2.343E-11;2.361;2.361;0.683;1.588;6.892;GRS:4FGL_J1810.5+1744[fermi21],OPT:[bvr+13];FermiAssoc;HE
79;J1813-1246;NAN;NAN;NAN;54954;17.244;2.445;273.34904;-12.7664;0.048072246759;1.75637E-14;NAN;NAN;NAN;NAN;NAN;NAN;NAN;2.527E-10;2.635;NAN;0.112;0.78;5.986;GRS:4FGL_J1813.4-1246[fermi21],XRS:Swift_J181324-124600;FermiBlind;NRAD
80;J1823-3021A;0.31;-8.2;NAN;55049;2.788;-7.913;275.9186959;-30.361146;0.005440004163273;3.375E-18;86.8797;0.34;0.98;NAN;16;0.72;0.08;1.07E-11;7.9;3.145;-1.088;0.381;0.684;GRS:4FGL_J1823.5-3020[fermi21],GC:NGC6624;misc,pks70,htru_pks;HE[faa+11]
81;J1826-1256;NAN;NAN;NAN;54934;18.556;-0.377;276.53554;-12.9425;0.11022370246;1.2145061E-13;NAN;NAN;NAN;NAN;NAN;NAN;NAN;3.827E-10;1.55;NAN;-0.01;0.493;7.031;GRS:4FGL_J1826.1-1256[fermi21],XRS:AXJ1826.1-1257,PWN:G18.5-0.4(?)[rrk01];FermiBlind;NRAD
82;J1833-1034;NAN;NAN;NAN;54575;21.501;-0.885;278.38988;-10.56875;0.06188365001063;2.02014996E-13;169.5;2.5;NAN;NAN;NAN;0.071;NAN;5.892E-11;4.1;3.355;-0.063;1.503;4.686;GRS:4FGL_J1833.5-1033[fermi21],SNR:G21.5-0.9[gmga05];misc;HE
83;J1835-1106;27;56;NAN;55429;21.222;-1.513;278.8267;-11.1045;0.16591763484;2.05892E-14;132.679;3.9;9.4;7.775E-05;30;2.5;NAN;6.05E-12;3.159;3.159;-0.083;1.143;5.556;NAN;pks70,pksmb,htru_pks;NAN
84;J1836+5925;NAN;NAN;NAN;56338;88.875;24.999;279.05697;59.42504;0.173263836028;1.5016E-15;NAN;NAN;NAN;NAN;NAN;NAN;NAN;6.057E-10;0.3;NAN;0.127;0.272;8.495;GRS:4FGL_J1836.2+5925[fermi21],XRS:RX_J1836.2+5925[hcg07];FermiBlind;XINS,NRAD
85;J1838-0537;NAN;NAN;NAN;55100;26.508;0.209;279.73342;-5.6192;0.1457077402;4.7179E-13;NAN;NAN;NAN;NAN;NAN;NAN;NAN;1.876E-10;NAN;NAN;0;0;8.5;GRS:4FGL_J1838.9-0537[fermi21];FermiBlind;NRAD
86;J1846+0919;NAN;NAN;NAN;54800;40.693;5.342;281.608;9.329;0.2255514533;9.93E-15;NAN;NAN;NAN;NAN;NAN;NAN;NAN;2.432E-11;1.53;NAN;0.142;0.993;7.345;GRS:4FGL_J1846.3+0919[fermi21];FermiBlind;NRAD
87;J1858-2216;NAN;NAN;NAN;55800;13.581;-11.393;284.574497;-22.28233;0.002384012901237;3.8E-21;26.631;NAN;NAN;NAN;NAN;NAN;NAN;7.23E-12;0.921;0.921;-0.182;0.212;7.622;GRS:4FGL_J1858.3-2216[fermi21];FermiAssoc;HE
88;J1902-5105;-4.8;-4.4;NAN;55520;345.65;-22.379;285.5118675;-51.0991582;0.001742399949906;9.1993E-21;36.25;NAN;NAN;NAN;NAN;1.2;NAN;2.157E-11;1.645;1.645;-0.626;-0.377;7.026;GRS:4FGL_J1902.0-5105[fermi21];FermiAssoc,ghrss;HE
89;J1907+0602;NAN;NAN;NAN;54935;40.182;-0.894;286.97808;6.03803;0.106632746266;8.68208E-14;82.1;NAN;NAN;NAN;NAN;0.0034;NAN;2.544E-10;2.37;2.576;-0.037;1.529;6.69;GRS:4FGL_J1907.9+0602[fermi21],SNR:G40.5-0.5(?),GRS:HESS_J1908+06[aaa+10d],XRS:[rkp+11];FermiBlind;HE
90;J1939+2134;0.07;-0.401;0.22;55000;57.509;-0.29;294.910671767;21.583090472;0.001557806561085;1.051065E-19;71.0237;0.0382;0.09;7.59E-07;240;15.2;NAN;9.18E-12;3.5;2.896;-0.018;2.952;6.62;NAN;ar2,ar3,ar4,palfa;HE[tst+01]
91;J1952+3252;-28.8;-14.7;NAN;52793;68.765;2.823;298.242525;32.877919;0.0395311928548;5.844803E-15;45.006;4.7;9.6;9.77E-07;7;1;NAN;1.381E-10;3;3.221;0.148;2.793;7.415;GRS:4FGL_J1952.9+3252[fermi21],SNR:CTB80;misc,lotaas;HE[sof95,aaa+10m]
92;J1954+2836;NAN;NAN;NAN;54800;65.244;0.377;298.57979;28.6017;0.0927090547;2.1163E-14;NAN;NAN;NAN;NAN;NAN;NAN;NAN;1.035E-10;1.96;NAN;0.013;1.78;7.679;GRS:4FGL_J1954.3+2836[fermi21];FermiBlind;NRAD
93;J1957+5033;NAN;NAN;NAN;54800;84.584;11.013;299.412;50.555;0.3748062242;7.08E-15;NAN;NAN;NAN;NAN;NAN;NAN;NAN;2.621E-11;1.365;NAN;0.261;1.334;8.374;GRS:4FGL_J1957.6+5033[fermi21];FermiBlind;NRAD
94;J1958+2846;NAN;NAN;NAN;54800;65.879;-0.353;299.66696;28.765;0.29038924475;2.12038E-13;NAN;NAN;NAN;NAN;NAN;NAN;NAN;9.144E-11;1.95;NAN;-0.012;1.78;7.703;GRS:4FGL_J1958.7+2846[fermi21];FermiBlind;NRAD
95;J1959+2048;-16;-25.8;NAN;48196;59.197;-4.697;299.9032078;20.80420061;0.001607401684806;1.68515E-20;29.1168;0.035;0.065;6.072E-07;20;0.4;NAN;1.696E-11;1.4;1.73;-0.115;1.198;7.785;GRS:4FGL_J1959.5+2048[fermi21],XRS:[hb07a];ar3;HE[aaa+10g]
96;J2017+0603;2.21;0.15;0.4;56682;48.621;-16.026;304.3446051;6.05154554;0.002896215816723;7.9931E-21;23.92344;NAN;NAN;NAN;NAN;0.5;NAN;3.331E-11;1.399;1.399;-0.386;1.009;7.611;GRS:4FGL_J2017.4+0602[fermi21],XRS:[pb15];misc;HE
97;J2021+3651;NAN;NAN;NAN;52682;75.222;0.111;305.27275;36.85133;0.103740952074;9.57209E-14;367.5;9.9;18;NAN;NAN;0.1;NAN;4.943E-10;1.8;10.512;0.003;1.74;8.041;GRS:4FGL_J2021.1+3651[fermi21];misc;HE[aaa+09d]
98;J2021+4026;NAN;NAN;NAN;54936;78.225;2.089;305.37496;40.44586;0.26531766093;5.4682E-14;NAN;3;NAN;NAN;NAN;NAN;NAN;9.553E-10;2.15;NAN;0.078;2.103;8.062;GRS:4FGL_J2021.5+4026[fermi21],SNR:G78.2+2.1[wsc+06],XRS:2XMM_J202131.0+402645[lhh+13];FermiBlind;NRAD
99;J2028+3332;NAN;NAN;NAN;55225;73.361;-3.008;307.08275;33.534544;0.1767074151138;4.85753E-15;NAN;NAN;NAN;NAN;NAN;NAN;NAN;5.838E-11;NAN;NAN;0;0;8.5;GRS:4FGL_J2028.3+3331[fermi21];FermiBlind;NRAD
100;J2030+3641;NAN;NAN;NAN;55400;76.123;-1.438;307.501088;36.690875;0.2001285881663;6.5001E-15;246;NAN;NAN;NAN;NAN;0.15;0.09;3.141E-11;6.947;6.947;-0.174;6.742;6.834;GRS:4FGL_J2030.0+3641[fermi21];FermiAssoc;HE
101;J2030+4415;NAN;NAN;NAN;55225;82.34;2.885;307.71396;44.26058;0.22707017739;6.4843E-15;NAN;NAN;NAN;NAN;NAN;NAN;NAN;5.762E-11;0.72;NAN;0.036;0.713;8.404;GRS:4FGL_J2030.9+4416[fermi21];FermiBlind;NRAD
102;J2032+4127;-2.991;-0.742;0.693;55700;80.224;1.028;308.054663;41.45675;0.14324647;1.13E-14;114.67;NAN;NAN;NAN;NAN;NAN;0.12;1.059E-10;1.33;4.624;0.024;1.31;8.274;GRS:4FGL_J2032.2+4127[fermi21],OPT:MT91_213(Cygnus_OB2)[lsk+15],XRS:[hnl+17];FermiBlind;HE
103;J2043+1711;-5.722;-10.831;0.64;56573;61.919;-15.313;310.83700687;17.19136336;0.00237987892389;5.2437E-21;20.757;NAN;NAN;NAN;0.8;NAN;NAN;2.703E-11;1.562;1.476;-0.413;1.33;7.791;GRS:4FGL_J2043.3+1711[fermi21];FermiAssoc;HE
104;J2043+2740;NAN;NAN;NAN;49773;70.612;-9.151;310.9313;27.6822;0.09613056295;1.27E-15;21.02064;NAN;NAN;3.036E-07;15;NAN;NAN;9.87E-12;1.48;1.48;-0.235;1.378;8.015;GRS:4FGL_J2043.7+2741[fermi21];ar4,lotaas;HE[naa+11]
105;J2047+1053;NAN;NAN;NAN;55561;57.046;-19.676;311.792692;10.8855;0.00429;2.1E-20;34.6;NAN;NAN;NAN;NAN;NAN;NAN;6.17E-12;2.794;2.794;-0.941;2.208;7.069;GRS:4FGL_J2047.3+1051[fermi21];FermiAssoc;HE
106;J2051-0827;5.63;2.34;NAN;55655;39.192;-30.411;312.78133237;-8.460486;0.004508641820006;1.2733E-20;20.7299;0.44;1.33;NAN;7.9;2.8;NAN;3.38E-12;1.469;1.469;-0.744;0.801;7.518;GRS:4FGL_J2051.0-0826[fermi21];pks70,FermiAssoc;HE[sbl+96,wkh+12]
107;J2055+2539;NAN;NAN;NAN;54900;70.688;-12.519;313.9533;25.6672;0.3195611745;4.08E-15;NAN;NAN;NAN;NAN;NAN;NAN;NAN;5.383E-11;0.62;NAN;-0.134;0.571;8.3;GRS:4FGL_J2055.8+2540[fermi21],XRS:XMMU_J205549.4+253959;FermiBlind;NRAD
108;J2111+4606;NAN;NAN;NAN;55225;88.31;-1.445;317.85054;46.10869;0.157829924735;1.430393E-13;NAN;NAN;NAN;NAN;NAN;NAN;NAN;4.408E-11;NAN;NAN;0;0;8.5;GRS:4FGL_J2111.4+4606[fermi21];FermiBlind;NRAD
109;J2124-3358;-14.14;-50.08;2.4;54500;10.925;-45.438;321.18270572;-33.979125;0.004931114943097;2.05705E-20;4.60096;0.524;3.76;NAN;17;4.5;NAN;3.677E-11;0.41;0.36;-0.292;0.055;8.218;GRS:4FGL_J2124.7-3358[fermi21];pks70;HE[bt99,aaa+09f]
110;J2139+4716;NAN;NAN;NAN;55225;92.633;-4.02;324.9831;47.2703;0.282849345409;1.7857E-15;NAN;NAN;NAN;NAN;NAN;NAN;NAN;2.338E-11;NAN;NAN;0;0;8.5;GRS:4FGL_J2140.0+4716[fermi21];FermiBlind;NRAD
111;J2214+3000;20.58;-1.26;2.3;56610;86.855;-21.665;333.66188554;30.01060907;0.003119226580973;1.47261E-20;22.545;NAN;NAN;NAN;NAN;0.53;NAN;3.275E-11;0.6;1.673;-0.222;0.557;8.469;GRS:4FGL_J2214.6+3000[fermi21],OPT:[sh14];FermiAssoc;HE
112;J2215+5135;NAN;NAN;NAN;55610;99.868;-4.159;333.8862017;51.593428;0.002609619723446;3.34E-20;69.1951;NAN;NAN;NAN;5;NAN;NAN;1.179E-11;2.773;2.773;-0.201;2.725;8.974;GRS:4FGL_J2215.6+5135[fermi21],OPT:[bvr+13];FermiAssoc;HE
113;J2229+6114;NAN;NAN;NAN;51980;106.647;2.949;337.272;61.23592;0.05162357393;7.827E-14;204.97;4;NAN;NAN;1.5;0.25;NAN;2.533E-10;3;5.037;0.154;2.87;9.358;GRS:4FGL_J2229.0+6114[fermi21],SNR:G106.6+2.9;misc,gbncc;HE[hcg+01,ppp+09,aaa+09i]
114;J2238+5903;NAN;NAN;NAN;54800;106.562;0.482;339.61779;59.06133;0.16273385299;9.7034E-14;NAN;NAN;NAN;NAN;NAN;NAN;NAN;6.421E-11;2.83;NAN;0.024;2.712;9.307;GRS:4FGL_J2238.5+5903[fermi21];FermiBlind;NRAD
115;J2240+5832;-6.1;-21;NAN;54000;106.566;-0.111;340.178913;58.543756;0.1399345;1.5358E-14;263.5;10;NAN;NAN;NAN;2.7;NAN;1.083E-11;7.275;7.275;-0.014;6.973;10.574;NAN;misc;HE[tpc+11]
116;J2241-5236;17.1;-3.32;NAN;55044.2;337.457;-54.927;340.4250771;-52.61006278;0.002186699771553;6.64E-21;11.41151;0.07;0.13;NAN;NAN;1.95;NAN;3.331E-11;0.963;0.963;-0.788;-0.212;7.989;GRS:4FGL_J2241.7-5236[fermi21],XRS:;FermiAssoc,ghrss;HE
117;J2302+4442;-0.05;-5.91;1.2;56675;103.395;-14.005;345.69574318;44.70613461;0.005192324647954;1.378E-20;13.7279;NAN;NAN;NAN;11.3;1.2;NAN;3.668E-11;0.859;0.859;-0.208;0.811;8.693;GRS:4FGL_J2302.7+4443[fermi21],XRS:XMMUJ230247+444219,OPT:[kzz+18];misc,gbncc;HE
