#;PSRJ;PMRA;PMDEC;PX;POSEPOCH;Gl;Gb;RAJD;DECJD;P0;P1;DM;W50;W10;TAU_SC;S400;S1400;S2000;Sgamma;DIST;DIST_DM;ZZ;XX;YY;ASSOC;SURVEY;PSR
;;[mas/yr];[mas/yr];[mas];[MJD];[deg];[deg];[deg];[deg];[s];[s/s];[cm^-3pc];[ms];[ms];[s];[mJy];[mJy];[mJy];[erg/cm2 s];[kpc];[kpc];[kpc[;[kpc];[kpc];;;TYPE
19;J0631+1036;NAN;NAN;NAN;53850;201.219;0.45;97.864683;10.61736;0.287800021959;1.046741E-13;125.36;6.5;NAN;NAN;1.5;0.9;NAN;4.653E-11;2.105;2.105;0.017;-0.762;10.462;GRS:4FGL_J0631.5+1036[fermi21];misc,ar4,palfa;HE[tsn+01,waa+10]
20;J0633+0632;NAN;NAN;NAN;54945;205.093;-0.932;98.43421;6.543;0.29739519058;7.9592E-14;NAN;NAN;NAN;NAN;NAN;NAN;NAN;9.417E-11;1.355;NAN;-0.022;-0.575;9.727;GRS:4FGL_J0633.7+0632[fermi21],XRS:Swift_J063343.8+063223(?),SNR:G205.5+0.5(?)[rkp+11];FermiBlind;NRAD
21;J0633+1746;138;97;6.4;49793;195.134;4.266;98.475637;17.770252;0.2370994416923;1.097087E-14;2.89;NAN;NAN;NAN;NAN;NAN;NAN;4.233E-09;0.19;0.138;0.014;-0.049;8.683;GRS:4FGL_J0633.9+1746[fermi21],XRS:1E0630+178;misc;HE
22;J0659+1414;44.07;-2.4;3.47;57600;201.108;8.258;104.950817;14.23872;0.384928623365;5.494123E-14;13.94;14.6;30;2.9E-09;6.5;2.7;NAN;2.508E-11;0.288;0.159;0.041;-0.103;8.766;GRS:4FGL_J0659.7+1416[fermi21],SNR:Monogem_Ring[tbb+03];mol2,lotaas;HE[chmm89,rfk+96,srg+97,waa+10]
23;J0729-1448;NAN;NAN;NAN;51367;230.392;1.424;112.31854;-14.8102;0.251658714181;1.132879E-13;91.7;8.4;22;NAN;NAN;0.83;NAN;NAN;2.679;2.679;0.067;-2.063;10.207;GRS:4FGL_0729.3-1445[fermi21];pksmb,FermiAssoc;HE[mhl+02,fermi21]
24;J0734-1559;NAN;NAN;NAN;55000;232.062;2.016;113.690396;-15.9884;0.15625;1.22E-14;NAN;NAN;NAN;NAN;NAN;NAN;NAN;5.559E-11;NAN;NAN;0;0;8.5;GRS:4FGL_J0734.7-1559[fermi21];FermiBlind;NRAD
25;J0742-2822;-29;4;NAN;49326;243.773;-2.444;115.704408;-28.378822;0.166762291572;1.682112E-14;73.728;4.2;8.3;1.606E-05;296;26;NAN;1.734E-11;2;3.114;-0.085;-1.792;9.383;GRS:4FGL_J0742.8-2822[fermi21];misc,mol2,pks70,pksmb,pkshl,htru_pks;HE
26;J0751+1807;-2.73;-13.4;0.82;55000;202.73;21.086;117.78814721;18.1273573;0.003478770839279;7.7874E-21;30.246;0.7;NAN;NAN;10;3.2;NAN;1.325E-11;1.11;0.428;0.399;-0.4;9.455;GRS:4FGL_J0751.2+1808[fermi21];misc;HE[wob+04,aaa+09f]
27;J0835-4510;-49.68;29.9;3.5;51544;263.552;-2.787;128.83588121;-45.17635419;0.089328385024;1.25008E-13;67.97;1.4;4.5;6.186E-05;5000;1050;NAN;9.064E-09;0.28;0.328;-0.014;-0.278;8.531;GRS:4FGL_J0835.3-4510[fermi21],SNR:Vela,GRS:HESS_J0835-455[aab+06c];mol1,mol2,pks70,pksmb,htru_pks;HE[hg73,tfko75]
28;J0908-4913;NAN;NAN;NAN;57600;270.265;-1.019;137.14775;-49.218056;0.1067690369961;1.510247E-14;180.37;0.9;56;8.004E-05;28;20;NAN;4.432E-11;1;1.023;-0.018;-1;8.495;GRS:4FGL_J0908.7-4911[fermi21];misc,pks1,pks70,pksmb,htru_pks,FermiAssoc;HE[dmd+88,fermi21]
29;J0940-5428;NAN;NAN;NAN;51091;277.51;-1.292;145.24258;-54.47794;0.087545204308;3.28683E-14;134.55;2.6;12;NAN;NAN;0.66;NAN;NAN;0.377;0.377;-0.009;-0.374;8.451;GRS:4FGL_J0941.1-5429[fermi21];pksmb,FermiAssoc;HE[mlc+01,fermi21]
