n,PSRJ,RAJ,DECJ,P0,P1
,,(hms),(dms),(s),
85,J0435+2749,04:35:51.8,+27:49:01.7,0.326279,8.17E-18
86,J0448-2749,04:48:41.5,-27:49:47,0.450448,1.48E-16
87,J0449-7031,04:49:05.6,-70:31:31.7,0.479164,3.37E-15
88,J0450-1248,04:50:08.7,-12:48:07.1,0.438014,1.03E-16
89,J0452-1759,04:52:34.1,-17:59:23.3,0.548939,5.75E-15
90,J0453+1559,04:53:45.4,+15:59:21.3,0.045782,1.86E-19
91,J0454+5543,04:54:07.7,+55:43:41.4,0.340729,2.37E-15
92,J0455-6951,04:55:47.5,-69:51:34.3,0.320423,1.02E-14
93,J0456-7031,04:56:02.5,-70:31:06.6,0.800132,3.67E-14
94,J0457-6337,04:57:07.7,-63:37:30.4,2.497012,2.1E-16
95,J0458-0505,04:58:37.1,-05:05:05.1,1.88348,5.3E-16
96,J0459-0210,04:59:51.9,-02:10:07,1.133076,1.4E-15
97,J0501+4516,05:01:06.7,+45:16:33.9,5.762097,5.82E-12
98,J0502+4654,05:02:04.5,+46:54:06.0,0.638565,5.58E-15
99,J0502-6617,05:02:50.5,-66:17:58.8,0.691251,2.31E-14
100,J0509+3801,05:09:31.7,+38:01:18.1,0.076541,7.93E-18
101,J0511-6508,05:11:56.5,-65:08:36.5,0.322062,2.06E-16
102,J0514-4408,05:14:52.1,-44:08:37.3,0.320271,2.04E-15
103,J0517+2212,05:17:17.1,+22:12:51.9,0.222367,1.16E-17
104,J0518+5125,05:18:26.1,+51:25:58.7,0.912512,1.91E-16
105,J0518+5416,05:18:53.1,+54:16:50,0.340203,1.68E-15
106,J0519-6932,05:19:46.9,-69:32:23.4,0.263212,6.97E-16
107,J0520-2553,05:20:36.1,-25:53:12,0.241642,3.01E-17
108,J0522-6847,05:22:23.0,-68:47:02.2,0.674532,1.77E-14
109,J0525+1115,05:25:56.4,+11:15:19.0,0.354438,7.36E-17
110,J0525-6607,05:26:00.9,-66:04:36.3,8.047,6.5E-11
111,J0528+2200,05:28:52.2,+22:00:04,3.745539,4.01E-14
112,J0529-6652,05:29:50.9,-66:52:38.2,0.975725,1.55E-14
113,J0532-6639,05:32:59.5,-66:39:37.3,0.642743,5.35E-15
114,J0533+0402,05:33:25.8,+04:02:00.5,0.963018,1.6E-16
115,J0534+2200,05:34:31.9,+22:00:52.0,0.033392,4.21E-13
116,J0534-6703,05:34:36.1,-67:03:48.8,1.817565,4.25E-13
117,J0535-6935,05:35,-69:35,0.200511,1.15E-14
118,J0536-7543,05:36:30.8,-75:43:54.8,1.245856,5.78E-16
119,J0537-6910,05:37:47.4,-69:10:19.8,0.016122,5.18E-14
120,J0538+2817,05:38:25.0,+28:17:09.1,0.143158,3.67E-15
121,J0540+3207,05:40:37.1,+32:07:37.3,0.524271,4.48E-16
