n,PSRJ,RAJ,DECJ,P0,P1
,,(hms),(dms),(s),
369,J1124-5638,11:24:56.4,-56:38:39.7,0.18556,9E-18
370,J1124-5916,11:24:39.0,-59:16:19,0.135477,7.53E-13
371,J1124-6421,11:24:59.5,-64:21:17,0.479099,6.2E-16
372,J1126-6054,11:26:52.6,-60:54:39.9,0.202737,2.81E-16
373,J1126-6942,11:26:21.6,-69:42:15.3,0.579416,3.3E-15
374,J1128-6219,11:28:46.7,-62:19:09,0.515984,1.1E-17
375,J1130-5826,11:30:16.3,-58:26:02.3,0.162323,1.59E-17
376,J1130-5925,11:30:10.4,-59:25:34.1,0.680984,9.52E-16
377,J1130-6807,11:30:31.9,-68:07:28.5,0.256353,4.6E-16
378,J1132-4700,11:32:14.5,-47:00:36.5,0.325633,7.77E-16
379,J1132-5627,11:32:15.7,-56:27:28.9,0.175166,6.8E-17
380,J1133-6250,11:33:51.4,-62:50:50.6,1.022875,4.52E-16
381,J1135-6055,11:35,-60:55,0.114943,7.93E-14
382,J1136+1551,11:36:03.1,+15:51:14.1,1.187913,3.73E-15
383,J1136-5525,11:36:02.1,-55:25:06.9,0.364713,8.23E-15
384,J1137-6700,11:37:32.0,-67:00:33.0,0.556216,7.17E-17
385,J1138-6207,11:38:21.6,-62:07:59.3,0.117564,1.25E-14
386,J1141-3107,11:41:25.6,-31:07:52.6,0.538432,1.96E-15
387,J1141-3322,11:41:42.7,-33:22:37,0.291468,4.63E-16
388,J1141-6545,11:41:07.0,-65:45:19.1,0.393899,4.31E-15
389,J1142-6230,11:42:52.5,-62:30:03.9,0.558383,7.79E-17
390,J1143-5158,11:43:15.0,-51:58:39.8,0.675646,6.95E-16
391,J1143-5536,11:43:09.7,-55:36:04.5,0.685358,4.85E-16
392,J1144-6217,11:44:02.1,-62:17:30.3,0.850665,3.08E-14
393,J1146-6030,11:46:07.7,-60:30:59.4,0.273375,1.79E-15
394,J1148-5725,11:48:28.5,-57:25:12.6,3.559937,1.11E-14
395,J1148-6415,11:48:37.8,-64:15:33,3.241029,2.7E-15
396,J1151-6108,11:51:56.8,-61:08:17.6,0.101633,1.03E-14
397,J1152-5800,11:52:10.0,-58:00:34,1.789829,1.28E-15
398,J1152-6012,11:52:53.8,-60:12:21,0.37657,6.69E-15
399,J1154-6250,11:54:20.1,-62:50:02.7,0.282012,5.59E-16
400,J1156-5707,11:56:07.4,-57:07:02.1,0.288417,2.65E-14
401,J1156-5909,11:56:21.5,-59:09:12.3,1.037931,1.02E-15
402,J1157-5112,11:57:08.1,-51:12:56.1,0.043589,1.43E-19
403,J1157-6224,11:57:15.2,-62:24:50.9,0.400526,3.93E-15
404,J1159-6409,11:59:21.7,-64:09:57,0.667486,2.4E-17
405,J1159-7910,11:59:35.7,-79:10:05.6,0.525074,2.82E-15
406,J1201-6306,12:01:23.0,-63:06:59.5,0.592136,3.56E-15
407,J1202-5820,12:02:28.3,-58:20:33.6,0.452803,2.13E-15
408,J1204-6843,12:04:36.7,-68:43:17.1,0.308861,2.17E-16
409,J1208-6238,12:08:13.9,-62:38:03.3,0.440591,3.27E-12
410,J1210-5226,12:10:00.9,-52:26:28.4,0.424131,2.22E-17
411,J1210-5559,12:10:05.9,-55:59:03.8,0.279768,7.25E-16
412,J1210-6550,12:10:42.0,-65:50:04.6,4.23701,4.31E-16
413,J1211-6324,12:11:24.1,-63:24:45.2,0.433084,2.57E-16
414,J1214-5830,12:14:08.4,-58:30:25.9,0.909823,5.34E-17
415,J1215-5328,12:15:00.6,-53:28:31.6,0.636414,1.15E-16
416,J1216-6223,12:16:41.9,-62:23:57.0,0.374053,1.68E-14
417,J1220-6318,12:20:17.8,-63:18:46.5,0.789212,8.03E-17
418,J1222-5738,12:22:52.3,-57:38:20,1.081164,1.5E-16
419,J1224-6208,12:24:44.2,-62:08:41.1,0.585761,2.02E-14
420,J1224-6407,12:24:22.2,-64:07:53.8,0.21648,4.95E-15
421,J1225-5556,12:25:43.8,-55:56:43.1,1.018453,2.06E-15
422,J1225-6035,12:25:28.6,-60:35:37.6,0.626324,2.88E-16
423,J1225-6408,12:25:42.8,-64:08:43,0.419618,9.46E-16
424,J1226+0005,12:26:14.4,+00:05:44,2.285076,2.47E-15
425,J1226-3223,12:26:46.6,-32:23:01,6.193004,7.05E-15
426,J1227-6208,12:27:00.4,-62:08:43.7,0.034528,1.87E-19
427,J1231-4609,12:31:45.7,-46:09:45.2,0.877239,3.8E-17
428,J1231-6303,12:31:13.0,-63:03:18,1.351236,1.4E-15
429,J1232-4742,12:32:19.1,-47:42:50.9,1.872994,1.4E-17
430,J1232-6501,12:32:17.8,-65:01:03.3,0.088282,8.11E-19
431,J1233-6312,12:33:31.5,-63:12:29,0.564759,6.92E-15
432,J1233-6344,12:33:39.9,-63:44:55,0.756892,3.88E-15
433,J1234-3630,12:34:12.0,-36:30:41.1,0.569242,8.66E-16
434,J1235-6354,12:35:57.7,-63:54:30.4,0.256778,1.97E-16
435,J1236-0159,12:36:02.5,-01:59:10,3.597574,5.1E-15
436,J1236-5033,12:36:59.1,-50:33:36.3,0.29476,1.56E-16
437,J1237-6725,12:37:25.9,-67:25:33.9,2.110974,2.19E-15
438,J1238+2152,12:38:23.1,+21:52:11,1.118591,1.45E-15
439,J1239+2453,12:39:40.4,+24:53:49.2,1.382449,9.6E-16
440,J1239-6832,12:39:58.8,-68:32:30.0,1.301923,1.19E-14
441,J1240-4124,12:40:17.6,-41:24:51.7,0.512242,1.74E-15
442,J1243-5735,12:43:35.3,-57:35:42.8,0.471225,8E-17
443,J1243-6423,12:43:17.1,-64:23:23.7,0.388485,4.49E-15
444,J1244-5053,12:44:11.4,-50:53:20.6,0.275207,1E-15
445,J1244-6359,12:44:47.6,-63:59:47.4,0.147274,4.4E-18
446,J1244-6531,12:44:38.3,-65:31:12,1.546819,7.18E-15
447,J1245-6238,12:45:21.1,-62:38:55.9,2.283093,1.09E-14
448,J1246+2253,12:46:49.3,+22:53:43.2,0.473871,8.89E-17
449,J1248-6344,12:48:46.3,-63:44:09.6,0.198335,1.69E-14
450,J1248-6444,12:48:32.8,-64:44:00.0,1.234893,1.93E-15
451,J1249-6507,12:49:54.3,-65:07:19.8,0.434445,1.21E-17
452,J1251-7407,12:51:52.9,-74:07:15.0,0.327058,3.65E-16
453,J1252-6314,12:52:42.6,-63:14:32.7,0.823339,1.08E-16
454,J1253-5820,12:53:28.3,-58:20:40.8,0.255496,2.1E-15
455,J1254-6150,12:54:32.4,-61:50:50.8,0.184502,6.24E-16
456,J1255-6131,12:55:54.8,-61:31:10.1,0.657974,4E-15
457,J1257-1027,12:57:04.7,-10:27:05.5,0.617308,3.63E-16
458,J1259-6741,12:59:22.7,-67:41:40,0.663329,1.21E-15
459,J1301-6305,13:01:45.7,-63:05:33.9,0.184528,2.67E-13
460,J1301-6310,13:01:28.3,-63:10:40.5,0.66383,5.64E-14
461,J1302-6313,13:02:19.2,-63:13:29,0.967846,6.33E-15
462,J1302-6350,13:02:47.6,-63:50:08.6,0.047763,2.28E-15
463,J1303-6305,13:03:00.0,-63:05:00.8,2.306642,2.18E-15
464,J1305-6203,13:05:21.1,-62:03:21.0,0.427774,3.22E-14
465,J1305-6256,13:05:28.0,-62:56:39,0.478231,2.11E-15
466,J1305-6455,13:05:23.3,-64:55:28.3,0.571652,4.04E-15
467,J1306-6242,13:06:44.6,-62:42:03,0.981902,5.86E-15
468,J1306-6617,13:06:38.1,-66:17:21.8,0.473026,5.97E-15
469,J1307-6318,13:07:54.7,-63:18:35,4.962427,2.11E-14
470,J1308+2127,13:08:48.2,+21:27:06.7,10.312522,1.12E-13
471,J1308-4650,13:08:44.5,-46:50:29.7,1.058833,5.26E-16
472,J1308-5844,13:08:21.0,-58:44:13.8,0.4647,8.64E-15
473,J1309-6415,13:09:16.6,-64:15:59,0.619454,8.79E-15
474,J1309-6526,13:09:00.2,-65:26:16.6,0.398292,1.84E-17
475,J1311-1228,13:11:52.6,-12:28:02,0.447518,1.51E-16
476,J1312-5402,13:12:04.7,-54:02:42.6,0.728154,1.43E-16
477,J1312-5516,13:12:53.5,-55:16:48.0,0.849243,5.7E-15
478,J1312-6400,13:12:07.1,-64:00:55.6,2.437432,6.83E-16
479,J1313+0931,13:13:23.0,+09:31:56,0.848933,8E-16
480,J1314-6101,13:14:23.4,-61:01:16,2.94839,1.17E-14
481,J1316-6232,13:16:46.3,-62:32:12.2,0.342825,5.3E-15
482,J1317-5759,13:17:46.2,-57:59:30.5,2.642199,1.26E-14
483,J1317-6302,13:17:44.6,-63:02:52.2,0.261271,1.02E-16
484,J1319-6056,13:19:20.2,-60:56:46.7,0.284353,1.53E-15
485,J1319-6105,13:19:26.3,-61:05:26.2,0.421118,1.5E-15
486,J1320-3512,13:20:12.6,-35:12:26.0,0.458488,1.9E-18
487,J1320-5359,13:20:53.9,-53:59:05.0,0.279738,9.25E-15
488,J1321-5922,13:21:39.5,-59:22:52.1,1.279058,2.37E-15
489,J1321+8323,13:21:45.6,+83:23:39.4,0.670037,5.66E-16
490,J1322-6241,13:22:32.1,-62:41:53.5,0.506058,2.59E-15
491,J1322-6329,13:22:18.0,-63:29:37,2.764209,1.11E-14
492,J1324-6146,13:24:43.9,-61:46:00,0.844109,5.58E-15
493,J1324-6302,13:24:13.6,-63:02:21.1,2.483804,9.79E-16
494,J1326-5859,13:26:58.2,-58:59:29.2,0.477994,3.24E-15
495,J1326-6408,13:26:32.4,-64:08:43.8,0.792674,3.09E-15
496,J1326-6700,13:26:02.7,-67:00:49.2,0.543015,5.33E-15
497,J1327-6222,13:27:17.1,-62:22:45.4,0.529929,1.88E-14
498,J1327-6301,13:27:07.4,-63:01:15.4,0.19648,1.53E-15
499,J1327-6400,13:27:10.2,-64:00:13.1,0.280678,3.12E-14
500,J1328-4357,13:28:06.4,-43:57:44.1,0.532699,3.01E-15
501,J1328-4921,13:28:33.5,-49:21:33.4,1.478721,6.1E-16
502,J1329-6158,13:29:03.3,-61:58:59,1.565218,3.39E-14
503,J1331-5245,13:31:00.0,-52:45:25.4,0.648117,5.1E-16
504,J1332-3032,13:32:52.4,-30:32:17,0.650434,5.6E-16
505,J1333-4449,13:33:44.8,-44:49:26.2,0.345603,5.4E-19
506,J1334-5839,13:34:30.1,-58:39:16.5,0.107718,2.16E-17
507,J1336-2522,13:36:20.8,-25:22:01.6,0.478145,3.31E-16
508,J1337-6306,13:37:20.3,-63:06:23.3,0.207953,3.56E-16
509,J1338-6204,13:38:09.3,-62:04:18.7,1.23899,1.39E-14
510,J1339-4712,13:39:56.5,-47:12:05.5,0.137055,5.3E-19
511,J1339-6618,13:39:56.6,-66:18:07.8,0.558179,3.5E-16
512,J1340-6456,13:40:00.3,-64:56:42.9,0.378622,5.05E-15
513,J1341-6023,13:41:07.3,-60:23:34.7,0.627285,1.95E-14
514,J1341-6220,13:41:42.6,-62:20:20.7,0.19334,2.53E-13
515,J1343+6634,13:43:59.2,+66:34:25.0,1.394104,1.09E-15
516,J1344-6059,13:44:39.6,-60:59:31,0.540102,4.3E-17
517,J1345-6115,13:45:44.4,-61:15:30.6,1.253085,3.25E-15
518,J1346-4918,13:46:22.3,-49:18:07.2,0.299625,3.5E-17
519,J1347-5947,13:47:19.3,-59:47:39.8,0.609962,1.42E-14
520,J1348-6307,13:48:42.4,-63:07:04,0.927772,3.79E-15
521,J1349-6130,13:49:36.6,-61:30:17.1,0.259365,5.12E-15
522,J1350-5115,13:50:16.1,-51:15:24.7,0.295699,7.53E-16
523,J1350-6225,13:50:44.4,-62:25:43.8,0.138158,8.88E-15
524,J1352-6803,13:52:34.4,-68:03:37.1,0.628903,1.23E-15
525,J1354-6249,13:54:35,-62:49:30,2.951938,1.48E-14
526,J1355-5153,13:55:58.6,-51:53:54.0,0.644305,2.81E-15
527,J1355-5747,13:55:36.9,-57:47:15,2.038674,7.15E-16
528,J1355-5925,13:55:59.1,-59:25:00.9,1.213381,5.99E-15
529,J1355-6206,13:55:21.3,-62:06:20.1,0.276603,3.1E-18
530,J1356-5521,13:56:50.5,-55:21:12.9,0.50738,7.24E-16
531,J1357-6429,13:57:02.4,-64:29:30.2,0.166108,3.6E-13
532,J1359-6038,13:59:58.2,-60:38:07.5,0.127508,6.33E-15
533,J1400-6325,14:00:45.6,-63:25:42.6,0.031182,3.89E-14
534,J1401-6357,14:01:52.5,-63:57:45.4,0.842805,1.69E-14
535,J1402-50,14:02:56.0,-50:21:43,1.380182,5.41E-15
536,J1403-6310,14:03:14.0,-63:10:27,0.39917,9E-17
537,J1403-7646,14:03:04.1,-76:46:57.5,1.306198,1.2E-15
538,J1404+1159,14:04:36.9,+11:59:16.0,2.650439,1.38E-15
539,J1405-5641,14:05:12.4,-56:41:24.2,0.617575,1.2E-15
540,J1406-5806,14:06:01.2,-58:06:32,0.288349,6.11E-16
541,J1406-6121,14:06:50.0,-61:21:27.9,0.213075,5.47E-14
542,J1407-6048,14:07:58.6,-60:48:58.8,0.492344,3.16E-15
543,J1407-6153,14:07:56.5,-61:53:59,0.701615,8.85E-15
544,J1409-6953,14:09:16.9,-69:53:34.4,0.528591,8.4E-16
545,J1410-6132,14:10:24,-61:32,0.050052,3.2E-14
546,J1410-7404,14:10:07.3,-74:04:53.3,0.278729,6.74E-18
547,J1411+2551,14:11:18.8,+25:51:08.3,0.062453,9.56E-20
548,J1412-6111,14:12:59.6,-61:11:30.5,0.529156,1.91E-15
549,J1412-6145,14:12:07.6,-61:45:28.4,0.315258,9.9E-14
550,J1412+7922,14:12:55.8,+79:22:03.8,0.058199,3.29E-15
551,J1413-6141,14:13:09.8,-61:41:13,0.285625,3.33E-13
552,J1413-6205,14:13:29.9,-62:05:38,0.109741,2.77E-14
553,J1413-6222,14:13:05.4,-62:22:27.8,0.292408,2.23E-15
554,J1413-6307,14:13:31.3,-63:07:35.4,0.394946,7.43E-15
555,J1414-6802,14:14:25.7,-68:02:58,4.630188,6.39E-15
556,J1415-6621,14:15:31.2,-66:21:12.2,0.392479,5.8E-16
557,J1416-5033,14:16:44.6,-50:33:17,0.794883,1.2E-16
558,J1416-6037,14:16:30.5,-60:37:59.5,0.29558,4.28E-15
559,J1418-3921,14:18:50.2,-39:21:18.5,1.096806,8.89E-16
560,J1418-5945,14:18:32.3,-59:45:00,1.672596,2.71E-16
561,J1418-6058,14:18:42.7,-60:57:49,0.110573,1.69E-13
562,J1420-5416,14:20:29.0,-54:16:22.5,0.935772,2.32E-16
563,J1420-5625,14:20:03.0,-56:25:55.0,0.034117,6.75E-20
564,J1420-6048,14:20:08.2,-60:48:16.4,0.06818,8.32E-14
565,J1422-6138,14:22:27.0,-61:38:28,0.340968,9.68E-14
566,J1423-6953,14:23:26.7,-69:53:42.8,0.333411,1.45E-15
567,J1424-5556,14:24:12.7,-55:56:13.9,0.770375,7.8E-16
568,J1424-5822,14:24:32.1,-58:22:56.0,0.366734,3.94E-15
569,J1424-6438,14:24:59.2,-64:38:10.0,1.023504,2.4E-16
570,J1425-5723,14:25:36.5,-57:23:30.8,0.353263,2.2E-17
571,J1425-5759,14:25:59.1,-57:59:10.2,0.707868,7.42E-16
572,J1425-6210,14:25:07.7,-62:10:04.9,0.50173,4.78E-16
573,J1427-4158,14:27:50.7,-41:58:56.3,0.586486,6.21E-16
574,J1428-5530,14:28:26.2,-55:30:50.1,0.570292,2.09E-15
575,J1429-5911,14:29:58.6,-59:11:36.6,0.115843,3.05E-14
576,J1429-5935,14:29:25.9,-59:35:58.9,0.763915,4.28E-14
577,J1430-6623,14:30:40.7,-66:23:05.5,0.785443,2.78E-15
578,J1432-5032,14:32:52.2,-50:32:17.3,2.034989,5.92E-15
579,J1433-6038,14:33:13.1,-60:38:34.7,1.95443,5.63E-15
580,J1434-6006,14:34:05.3,-60:06:29.0,0.306368,3.02E-15
581,J1434-6029,14:34:39.1,-60:29:49,0.963348,1.03E-15
582,J1434+7257,14:33:59.7,+72:57:26.5,0.041741,5.5E-19
583,J1435-5954,14:35:00.3,-59:54:49.2,0.472995,1.54E-15
584,J1437-5959,14:37:01.9,-59:59:01.4,0.061696,8.59E-15
585,J1437-6146,14:37:15.3,-61:46:02.0,0.467616,6.33E-15
586,J1439-5501,14:39:39.7,-55:01:23.6,0.028635,1.42E-19
587,J1440-6344,14:40:31.2,-63:44:48.4,0.459607,1.12E-15
588,J1441-6137,14:41:44.3,-61:37:24,1.17584,3.6E-16
589,J1443-5122,14:43:26.9,-51:22:26,0.732061,3.38E-16
590,J1444-5941,14:44:46.5,-59:41:19,2.760228,8.23E-15
591,J1444-6026,14:44:06.0,-60:26:09.4,4.758576,1.85E-14
592,J1449-5846,14:49:25.4,-58:46:40.4,0.46333,8.6E-17
593,J1452-5851,14:52:52.6,-58:51:13.2,0.386643,5.07E-14
594,J1452-6036,14:52:51.8,-60:36:31.3,0.154991,1.45E-15
595,J1453-6413,14:53:32.6,-64:13:16.0,0.179487,2.74E-15
596,J1454-5846,14:54:10.9,-58:46:34.7,0.045249,8.17E-19
597,J1456-6843,14:55:59.9,-68:43:39.5,0.263377,9.89E-17
598,J1457-5122,14:57:40.1,-51:22:53,1.748301,5.29E-15
599,J1457-5900,14:57:39.0,-59:00:51,1.498637,3.66E-15
600,J1457-5902,14:57:31.9,-59:02:04,0.390739,1.23E-14
601,J1459-6053,14:59:29.9,-60:53:20.7,0.103151,2.53E-14
602,J1501-0046,15:01:44.9,-00:46:23.5,0.464037,2.39E-16
603,J1501-5637,15:01:51.0,-56:37:48,0.782949,1.7E-16
604,J1502-5653,15:02:57.3,-56:53:39.2,0.535504,1.83E-15
605,J1502-5828,15:02:43.8,-58:28:42,0.668105,3.64E-14
606,J1502-6128,15:02:29.8,-61:28:50.3,0.842104,1.35E-15
607,J1502-6752,15:02:18.6,-67:52:16.7,0.026744,3.15E-19
608,J1503+2111,15:03:54.6,+21:11:09.3,3.314002,1.4E-16
609,J1504-5621,15:04:49.1,-56:21:32,0.412985,5.53E-15
610,J1506-5158,15:06:39.5,-51:58:10,0.840739,6.37E-15
611,J1507-4352,15:07:34.1,-43:52:03.8,0.286758,1.58E-15
612,J1507-6640,15:07:48.6,-66:40:57.8,0.355656,1.15E-15
613,J1509+5531,15:09:25.6,+55:31:32.3,0.739682,5E-15
614,J1509-5850,15:09:27.1,-58:50:56.0,0.088925,9.17E-15
615,J1509-6015,15:09:07.5,-60:15:18.6,0.339038,2.12E-15
616,J1510-4422,15:10:48.9,-44:22:07,0.943871,6.1E-16
617,J1511-5414,15:11:51.3,-54:14:40.3,0.200384,4.85E-16
618,J1511-5835,15:11:07.0,-58:35:28,0.301511,3.44E-16
619,J1512-5431,15:12:05.7,-54:31:19,2.040532,1.92E-15
620,J1512-5759,15:12:43.0,-57:59:59.8,0.128699,6.85E-15
621,J1513-5739,15:13:58.9,-57:39:01.4,0.973458,2.75E-14
622,J1513-5908,15:13:55.8,-59:08:09.6,0.151582,1.53E-12
623,J1513-5946,15:13:44.7,-59:46:31.9,1.046117,8.53E-15
624,J1514-4834,15:14:14.5,-48:34:19.5,0.454839,9.25E-16
625,J1514-5925,15:14:59.1,-59:25:43.5,0.148797,2.88E-15
626,J1515-5720,15:15:09.2,-57:20:50.1,0.286648,6.09E-15
627,J1517-4356,15:17:27.3,-43:56:17.9,0.650837,2.16E-16
628,J1517-4636,15:17:29.3,-46:36:00.6,0.886612,2.1E-15
629,J1518-0627,15:18:59.1,-06:27:07.7,0.794997,4.18E-16
630,J1518-3952,15:18:56.9,-39:52:30.3,0.499196,2.37E-16
631,J1518+4904,15:18:16.7,+49:04:34.2,0.040935,2.72E-20
632,J1518-5415,15:18:13.5,-54:15:45.0,0.214925,4.06E-17
633,J1519-5734,15:19:47.5,-57:34:13.6,0.518758,4.27E-15
634,J1519-6106,15:19:35.8,-61:06:54.6,2.154307,8.37E-15
635,J1519-6308,15:19:09.5,-63:08:19.5,1.254052,5.96E-15
636,J1522-5525,15:22:06.7,-55:25:17.5,1.389605,3.3E-15
637,J1522-5735,15:22:05.3,-57:35:00,0.102136,3.12E-14
638,J1522-5829,15:22:42.2,-58:29:03.1,0.395354,2.06E-15
639,J1524-5625,15:24:49.8,-56:25:23.4,0.078219,3.9E-14
640,J1524-5706,15:24:21.4,-57:06:34.6,1.116174,3.56E-13
641,J1524-5819,15:24:24.6,-58:19:14.1,0.961043,1.26E-13
642,J1525-5417,15:25:28.3,-54:17:20,1.011694,1.62E-14
643,J1525-5523,15:25:36.0,-55:23:27.2,0.355156,8.96E-18
644,J1525-5545,15:25:28.1,-55:45:49.8,0.01136,1.31E-19
645,J1525-5605,15:25:41.4,-56:05:13,0.280349,1.16E-16
646,J1526-5633,15:26:41.2,-56:33:43,0.301888,1.23E-16
647,J1527-3931,15:27:58.7,-39:31:36.6,2.417605,1.91E-14
648,J1527-5552,15:27:40.7,-55:52:08.3,1.048719,1.13E-14
649,J1528-3146,15:28:34.9,-31:46:06.8,0.060822,2.49E-19
650,J1528-4109,15:28:08.0,-41:09:28.8,0.526556,3.96E-16
651,J1528-5547,15:28:39.1,-55:47:23,3.467302,7.75E-15
652,J1528-5838,15:28:24.3,-58:38:01,0.355687,2.48E-14
653,J1529-5355,15:29:57.6,-53:55:36,0.891265,8.1E-16
654,J1529-5611,15:29:35.8,-56:11:29,0.822249,4.1E-15
655,J1530-5327,15:30:26.8,-53:27:56.0,0.278958,4.68E-15
656,J1530-6343,15:30:47.6,-63:43:13.6,0.91032,8.25E-16
657,J1531-4012,15:31:08.0,-40:12:30.9,0.356849,9.63E-17
658,J1531-5610,15:31:27.9,-56:10:55.3,0.084206,1.38E-14
659,J1532+2745,15:32:10.3,+27:45:49.6,1.124836,7.8E-16
660,J1532-5308,15:32:35.5,-53:08:06,0.443825,6.5E-17
661,J1534-4428,15:34:52.0,-44:28:09.4,1.221426,1.8E-16
662,J1534-5334,15:34:08.2,-53:34:19.6,1.368882,1.43E-15
663,J1534-5405,15:34:33.5,-54:05:39.7,0.289689,1.54E-15
664,J1535-4114,15:35:17.0,-41:14:03.1,0.432866,4.07E-15
665,J1535-4415,15:35:55.9,-44:15:08.4,0.468402,4.05E-17
666,J1535-5450,15:35:58.2,-54:50:26,0.566734,1.43E-14
667,J1535-5848,15:35:16.7,-58:48:27.7,0.307178,2.72E-15
668,J1536-3602,15:36:17.3,-36:02:58.8,1.319759,7.9E-16
669,J1536-5433,15:36:04.8,-54:33:15,0.881438,1.91E-15
670,J1536-5907,15:36:17.7,-59:07:03.6,0.557841,1.37E-15
671,J1537+1155,15:37:09.9,+11:55:55.4,0.037904,2.42E-18
672,J1537-4912,15:37:28.2,-49:12:03,0.301311,1.93E-15
673,J1537-5153,15:37:15.7,-51:53:06,1.528124,4.17E-15
674,J1537-5645,15:37:51.0,-56:45:04,0.430464,2.78E-15
675,J1538+2345,15:38:06.0,+23:45:04.0,3.449385,6.89E-15
676,J1538-5438,15:38:48.9,-54:38:17,0.276726,1.42E-15
677,J1538-5519,15:38:40.8,-55:19:46,0.395731,4.1E-17
678,J1538-5551,15:38:45.0,-55:51:36.9,0.104676,3.21E-15
679,J1538-5621,15:38:43.2,-56:21:55.5,1.908494,7.31E-15
680,J1538-5638,15:38:05.7,-56:38:12,0.84398,7.12E-15
681,J1538-5732,15:38:18.1,-57:32:29.3,0.341213,4.55E-15
682,J1538-5750,15:38:08.4,-57:50:17.1,0.506568,4.2E-17
683,J1539-4828,15:39:40.8,-48:28:57,1.272842,1.27E-15
684,J1539-5521,15:39:07.9,-55:21:11.2,1.004958,7.28E-16
685,J1539-5626,15:39:14.0,-56:26:26.3,0.243395,4.85E-15
686,J1539-6322,15:39:24.7,-63:22:53.2,1.630846,2.02E-16
687,J1540-5736,15:40:59.0,-57:36:57,0.612916,4.21E-16
688,J1541-5535,15:41:49.6,-55:35:01,0.295838,7.5E-14
689,J1542-5034,15:42:45.4,-50:34:01.4,0.599245,3.97E-15
690,J1542-5133,15:42:19.9,-51:33:35,1.783865,5.89E-16
691,J1542-5303,15:42:54.5,-53:03:41,1.207568,7.78E-14
692,J1543-0620,15:43:30.1,-06:20:45.3,0.709064,8.8E-16
693,J1543+0929,15:43:38.8,+09:29:16.3,0.748448,4.32E-16
694,J1543-5013,15:43:58.2,-50:13:58,0.644255,1.01E-14
695,J1543-5459,15:43:56.4,-54:59:15.0,0.377138,5.21E-14
696,J1544-5308,15:44:59.8,-53:08:46.9,0.178554,6.03E-17
697,J1546-5302,15:46:07.4,-53:02:23.0,0.58084,1.18E-14
698,J1547-0944,15:47:46.0,-09:44:07.8,1.576925,2.94E-15
699,J1547-5750,15:47:30.6,-57:50:29.4,0.647198,2.56E-17
700,J1547-5839,15:47:34.9,-58:39:09.8,0.24219,5.94E-16
701,J1548-4821,15:48:23.2,-48:21:49.7,0.145655,8E-19
702,J1548-4927,15:48:19.4,-49:27:40.4,0.602738,4.05E-15
703,J1548-5607,15:48:44.0,-56:07:34.3,0.170938,1.07E-14
704,J1549+2113,15:49:40.9,+21:13:26.9,1.262471,8.54E-16
705,J1549-4848,15:49:21.0,-48:48:35.5,0.288355,1.41E-14
706,J1549-5722,15:49:47.9,-57:22:02,0.497772,4.7E-17
707,J1550-5242,15:50:02.9,-52:42:07.0,0.749659,1.78E-14
708,J1550-5317,15:50:04.8,-53:17:21,1.421124,9.35E-16
709,J1550-5418,15:50:54.1,-54:18:24.1,2.069833,2.32E-11
710,J1551-4424,15:51:48.0,-44:24:42,0.67406,1.88E-16
711,J1551-5310,15:51:41.0,-53:11:00.5,0.453448,1.95E-13
712,J1551-6214,15:51:36.7,-62:14:23.3,0.198839,2.28E-17
713,J1553-5456,15:53:59.6,-54:56:06,1.081328,1.57E-14
714,J1554-5209,15:54:27.1,-52:09:38.3,0.12523,2.29E-15
715,J1554-5512,15:54:40.5,-55:12:33,3.418039,3.12E-14
716,J1555-0515,15:55:40.0,-05:15:57.4,0.97541,2.05E-15
717,J1555-2341,15:55:33.1,-23:41:10,0.532578,6.94E-16
718,J1555-3134,15:55:17.9,-31:34:20.1,0.51811,6.22E-17
719,J1556-5358,15:56:51.5,-53:58:55,0.994681,1.04E-14
720,J1557-4258,15:57:00.2,-42:58:12.6,0.329187,3.3E-16
721,J1558-5419,15:58:41.4,-54:19:26,0.594575,6.04E-15
722,J1558-5756,15:58:30.5,-57:56:26.1,1.122342,1.86E-13
723,J1559-4438,15:59:41.5,-44:38:45.9,0.257056,1.02E-15
724,J1559-5545,15:59:21.3,-55:45:40,0.957242,2.05E-14
725,J1600-5044,16:00:53.0,-50:44:21.3,0.192605,5.06E-15
726,J1600-5751,16:00:19.9,-57:51:15.3,0.194456,2.13E-15
727,J1600-5916,16:00:35.0,-59:16:59,1.247666,8.87E-16
728,J1601-5244,16:01:27.3,-52:44:09,2.559357,7.21E-16
729,J1601-5335,16:01:54.8,-53:35:44.1,0.288479,6.23E-14
730,J1602-4957,16:02:18.2,-49:57:32,0.81999,1.59E-14
731,J1602-5100,16:02:18.7,-51:00:06.1,0.864286,6.94E-14
732,J1603-2531,16:03:04.8,-25:31:47,0.28307,1.59E-15
733,J1603-2712,16:03:08.0,-27:13:28,0.778313,3.01E-15
734,J1603-3539,16:03:53.6,-35:39:57.1,0.141909,1.24E-16
735,J1603-5657,16:03:31.4,-56:57:44.1,0.496077,2.79E-15
736,J1603-7202,16:03:35.6,-72:02:32.7,0.014842,1.56E-20
737,J1604-4718,16:04:29.4,-47:18:47.9,0.527466,4.96E-15
738,J1604-4909,16:04:22.9,-49:09:57.9,0.327419,1.02E-15
739,J1604-7203,16:04:29.1,-72:03:30.4,0.341403,8.4E-17
740,J1605-5215,16:05:19.0,-52:15:48,1.013609,4.75E-15
741,J1605-5257,16:05:16.2,-52:57:34.5,0.658013,2.56E-16
