t[yr],B[G],L[erg/s],P_fill[s],Pdot_fill[s/s],chi[rad],P_vac[s],Pdot_vac[s/s],P_vacObs[s],Pdot_vacObs[s/s],bpol,etor,btorAvg
0.0,5000000000000000.0,1.4959911e+37,0.001,2.539248530406395e-05,1.0471975511965976,0.001,7.254995801161127e-06,0.001,1.0803055141585184e-05,300000000000000.0,50,52000000000000.0
1.0,4971461600000000.0,3.095157e+36,1.6999871040983578,1.1935379907907507e-08,-321.1402188531336,0.7411845566966991,9.688172792780149e-09,0.9584233469473061,1.1156281042579275e-08,300000000000000.0,50,52000000000000.0
2.0,4948028900000000.0,3.181362e+36,2.034084549686792,9.4522245811675e-09,-321.0770572105481,1.0008756739730844,7.106968164118778e-09,1.2617542496903176,8.394571369292136e-09,300000000000000.0,50,52000000000000.0
3.0,4926013300000000.0,3.0121621e+36,2.3084432425823023,7.997392269688572e-09,-321.0322274940533,1.2042115075873812,5.854457193923525e-09,1.503177884337769,6.9837408846158096e-09,300000000000000.0,50,52000000000000.0
4.0,4904886600000000.0,2.827515e+36,2.545192420739164,7.0190895276444524e-09,-320.9977646468857,1.3764572703755438,5.078041738176956e-09,1.7091938859350166,6.0894307381436315e-09,300000000000000.0,50,52000000000000.0
5.0,4884461100000000.0,2.6293743e+36,2.7555772866565884,6.305804532726349e-09,-320.96996501316295,1.528214111595771,4.535771455704808e-09,1.891466529342734,5.4568972603401506e-09,300000000000000.0,50,52000000000000.0
6.0,4864660300000000.0,2.4910027e+36,2.946210400366499,5.757264160502196e-09,-320.94680076768503,1.665134561690286,4.1291007334755006e-09,2.0563671576209654,4.978670203608576e-09,300000000000000.0,50,52000000000000.0
7.0,4845425200000000.0,2.4176178e+36,3.1213440428667516,5.319224782601084e-09,-320.92704359317526,1.7906483630185106,3.809385137766117e-09,2.20781906316012,4.6005621949060964e-09,300000000000000.0,50,52000000000000.0
8.0,4826692400000000.0,2.3718762e+36,3.283924175219845,4.959273547757907e-09,-320.90988781422493,1.9070421663045503,3.549291789061133e-09,2.3484649670538524,4.29167779195302e-09,300000000000000.0,50,52000000000000.0
9.0,4808466200000000.0,2.3012161e+36,3.4360876139148,4.656876985454207e-09,-320.8947774648581,2.015931638802985,3.3322233401066594e-09,2.480186202436218,4.033062596746145e-09,300000000000000.0,50,52000000000000.0
10.0,4790680300000000.0,2.2186345e+36,3.5793814363069543,4.398640851831957e-09,-320.8813239806448,2.11846679751099,3.147666521147592e-09,2.6043285546463566,3.8126227826585204e-09,300000000000000.0,50,52000000000000.0
20.0,4634989900000000.0,1.858034e+36,4.709857444211456,2.9688057010488287e-09,-320.7961507336786,2.9286245526727765,2.1315166310054783e-09,3.587606870365408,2.5909373152307117e-09,300000000000000.0,50,52000000000000.0
30.0,4517236600000000.0,1.7276464e+36,5.540947990465682,2.3372601823978277e-09,-320.7508059031619,3.525971401076603,1.6815795027156126e-09,4.314164822537191,2.0464861635123717e-09,300000000000000.0,50,52000000000000.0
