,age,r,phi,z,v_r,v_phi,v_z
,[yr],[kpc],[rad],[kpc],[km/s],[km/s],[km/s]
0,17898230.682855003,0.18760555302189424,8.755373232791998,-0.27811876253667017,-144.19699335897567,12.907376851513742,-243.99492646666616
1,8405911.2460575,5.22830099452747,0.578315250588562,-3.293597781329672,89.77525719448433,-362.21592296947034,-375.0741294888076
2,16586537.53731098,10.754980083644625,0.9936860205610473,-2.326855254680218,87.85818583714419,-55.817246299450375,-121.53662649637279
3,25052172.01345505,19.743238192006654,3.525547788475619,11.641346344956009,402.8335211649348,-166.63322086729994,434.3488273037181
4,8052988.353568252,8.692328565904345,1.7909547760321647,1.582367297544271,911.6918938768531,-417.40343446252956,176.37135264872194
5,16450391.786999764,21.39116129120513,0.8958621413258299,1.1213268073320266,557.1878734514265,-109.9825405007707,38.5285378293177
6,8408209.194043111,7.999000812661079,4.609956226654315,-0.24316314383851856,131.97382086633297,76.26677369238584,-27.07633241425937
7,22385158.222249143,15.14896950278985,2.8980521430955886,-4.9766579917519165,324.67364083267523,-177.2357249744795,-216.5469796432516
8,7584739.349143088,3.8698643801732935,2.5911144563012307,-0.3867350695287167,-9.20368089583979,-267.0348809475251,-58.340483493600736
9,24894826.824397385,6.7222041728286905,4.800987653081509,9.571674818076714,75.91263880854594,-106.05174274028205,326.10003201783996
10,25655647.287063234,4.865318878530784,-1.567924427444345,-0.6427743754067777,262.5388336757133,-142.77951782102662,-30.143925972790903
11,6038172.95201707,12.267572963772148,3.727356858716286,0.535263091250837,562.7341169164068,-158.463230801824,64.36415956468133
12,26345566.567243215,13.046537111348501,4.179418966827289,2.0922099231590874,-153.58163912864111,33.352550261942106,82.77991537447522
13,23758821.428857427,17.86795616916905,4.0832559592618125,1.3479598646043716,234.4866567636885,-424.74444761470284,62.87773480475498
14,15548359.353459528,16.40262471452906,3.4229052242953357,-7.536234606377707,796.075248873372,-121.09455393328741,-457.9706754169283
15,24084307.340139296,17.695699044325448,3.14740880259119,-1.1521777123807992,197.46217619641152,383.31707593722393,-59.309918032673224
16,10485046.659110887,8.635783408988463,5.06965535203121,2.1303044053356053,-116.1982447611951,-169.03356092154695,252.55776399725096
17,15407625.79902173,4.711564602311272,2.0844197897445906,-8.995987982764591,-123.81989399002615,-395.97097655139174,-542.1820203912099
18,29302161.190268178,22.799232620496614,-0.3463853768956868,-8.124487096773136,705.2418331484967,-110.2237106135914,-236.74205577788615
19,5469494.112553117,4.984008325553296,1.8340022365687771,-2.1094599651193557,101.352308775984,90.4652044745563,-384.7347480867375
20,15315993.030529762,5.362859751263394,3.414735703421639,-1.9166659082835473,438.8612755732891,-209.2000384323321,-46.99073494388704
21,24781274.2663354,12.088116814347854,0.5554453973370853,-1.8400254998692176,352.8794915782077,-179.93275191594208,-50.08654300786302
22,12357242.814356487,4.072056197499276,4.882380424904256,-0.9810396340887079,170.73980903125792,-218.13762292628937,-2.3990859781277454
23,24307325.14701774,5.683115450258058,5.05647209562709,-1.8314729479532514,220.98472881123752,-451.26661455865957,-14.398952785528937
24,23396075.7527201,17.315114778661222,0.5027053058855241,7.456477137583416,742.4186034093754,-173.8678447251698,282.09286069795445
25,9429476.7347864,12.143429631152717,4.302204930480201,1.0422185144988358,334.05627108476943,-36.16591724952663,101.66780361517694
26,9677100.521306995,9.939831069413021,0.5037837157597629,-0.12110737311514852,657.2212198960241,-158.3357018443121,2.330967758105792
27,9982940.793883951,9.817222177110244,5.243047688950181,-0.40156061694725165,506.56799007464946,-238.94854830858472,-36.45973491104888
28,5290006.733950972,10.308674011722124,4.5794393194759735,-1.4281197879333087,61.56186753558967,5.44825803882498,-260.63245870623234
29,17631201.155688234,11.113458285321375,2.6711193469739056,-2.5040144805544213,429.59046711658584,-209.453017978503,-131.44091246380302
30,4307873.875123521,3.8399974213086288,-0.24970810996900278,0.47899873094220907,-35.94393007387704,-363.89206889475935,95.38638023753958
31,3109490.4526238684,2.634131997890644,5.604358991950002,0.7704721964447008,447.67496659175407,-329.7180565330534,57.985491614353045
32,13230100.418390047,13.520271236985433,4.238016695986251,-1.3644987387544623,33.21835323252177,-196.46269850994057,-97.71621980436143
33,27032295.09075611,7.286731492005464,6.5384897350650855,11.572203046435364,-378.46207263670584,0.5893362491820293,400.0083585470395
34,6102260.999225173,12.787003300328244,4.151847529708221,-0.579426564177165,156.5431337830154,-164.18037908305163,-84.00544000307109
35,28753067.237111993,15.901406750221856,5.24522657912128,-5.073677954000741,228.0252032323611,264.6904992646363,-142.1005550399794
36,16349988.820714764,2.0013141727962926,4.70332593293467,2.3423131511507105,-252.37004834834906,-53.5989102770729,62.99859384677339
37,7121996.691346659,3.2779101728558246,-0.6422575260718429,-0.2682396913405902,408.5199072262011,-524.1196958626265,-34.171416356086596
38,19208775.041449565,11.161192595866646,3.100979048244437,1.8339535797917428,501.5208984802737,-245.3776538046118,69.80378725869713
39,20484463.953763843,14.834937854216703,2.2385971802807147,-0.3061726610735754,115.61839255596954,-383.0984852915369,9.2216501156545
40,23070305.315685675,18.529257985038136,4.959592128832372,-4.364898773149095,98.65396613725586,-320.8850765305857,-175.04137244152358
41,25359040.090845115,9.539327322848361,-1.0655228048663714,3.395362300490109,329.4713564558395,-188.91404186456336,74.55834900612882
42,20339025.959598813,18.78170267649887,2.812765975900437,-7.503000863715399,456.29537523703647,-55.40986144076204,-346.17673448756966
43,2855458.170770236,4.048506044663618,0.9372585200436335,-0.3728572831462336,96.42306556732576,-469.9619718373727,-117.86298326047056
44,1342582.842297996,6.803616690743052,4.69725631482117,-0.5714893608173123,-446.55218876489613,-152.46895747597495,-398.5417592914137
45,17433589.979956172,7.250920901413854,0.33285081789310716,-4.805329592995498,93.51721628851944,-409.3024276893671,-235.8204734331037
46,23239559.970812608,16.01992662778795,0.15508976683709783,-1.2813310854913889,491.3583836133887,-90.63476644305872,-41.854220571219216
47,29541830.363013055,17.924325240357653,4.092337687940473,-2.5639820919632923,460.6359602557442,-135.78157024779415,-68.95738881081087
